PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103619997,37542,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,Unspecified,,,,100,CC50,=,100000,nM
2,123086722,45375808,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H]([C@@]([C@@H](O1)N2C=CC(=O)NC2=O)(C)F)O)OC3=CC=CC=C3,Unspecified,,,,200,CC50,=,200000,nM
3,440174794,122455264,CCCCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3O,Unspecified,,,,150,CC50,=,150000,nM
4,440182334,122494885,CCOCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3C(F)(F)F,Unspecified,,,,150,CC50,=,150000,nM
5,440213395,122455390,CCCCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3C(F)(F)F,Unspecified,,,,18,CC50,=,18000,nM
6,440218061,155564894,CCCCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3OC,Unspecified,,,,79,CC50,=,79000,nM
7,440227299,122494869,CCCCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC4=C3C=CN=C4,Unspecified,,,,30,CC50,=,30000,nM
8,442046726,122455302,CC(C)CCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC=CC=C3F,Unspecified,,,,200,CC50,=,200000,nM
9,442047096,156009995,CCCCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC=CC=C3NS(=O)(=O)C,Unspecified,,,,35,CC50,=,35000,nM
10,442047678,156010392,CCOCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC(=C3)C(=O)OCC,Unspecified,,,,100,CC50,=,100000,nM
11,442048727,122455343,CC(=O)CCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC(=CC=C3)F,Unspecified,,,,20,CC50,=,20000,nM
12,442050948,122455368,CCOCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC(=CC=C3)F,Unspecified,,,,145,CC50,=,145000,nM
13,442052829,122455324,CCCCCCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC=CC=C3C(F)(F)F,Unspecified,,,,170,CC50,=,170000,nM
14,442054735,122455311,CC1=CC=CC=C1NC(=O)NC2=CC=C(C=C2)N3C=C(N=N3)CCC(C)C,Unspecified,,,,170,CC50,=,170000,nM
15,442054864,122455265,CCCCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC(=CC=C3)F,Unspecified,,,,200,CC50,=,200000,nM
16,442057217,156017126,CCOCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3N4CCOCC4,Unspecified,,,,100,CC50,=,100000,nM
17,442057354,156017217,CCOCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC(=C3)C(=O)O,Active,,,,7,CC50,=,7000,nM
18,442059289,156018612,C1=CC=C(C(=C1)C(F)(F)F)NS(=O)(=O)C2=CC=CC(=C2)N3C=C(N=N3)COCCNC(=S)NC4=CC5=C(C=C4)C(=O)OC56C7=C(C=C(C=C7)O)OC8=C6C=CC(=C8)O,Unspecified,,,,140,CC50,=,140000,nM
19,442059564,156018796,CCOCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3NS(=O)(=O)C,Unspecified,,,,87,CC50,=,87000,nM
20,442062738,122455347,CC(C)CCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC(=CC=C3)F,Unspecified,,,,200,CC50,=,200000,nM
