PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,461514672,162643109,CC1(CC2=C(CN(C(N2CC3=CC=CC=C3)C4=CC=CC=C4)CC5=CC=CC=C5)C(=O)C1)C,Unspecified,,,,20,EC50,>,20000,nM,
2,461515339,162643560,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC=C(C=C4)[N+](=O)[O-])C5=CC=CC=C5)C(=O)C1)C,Active,,,,3.75,EC50,=,3750,nM,
3,461515415,162643618,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC(=C(C(=C4)OC)O)OC)C5=CC=CC=C5)C(=O)C1)C,Unspecified,,,,20,EC50,>,20000,nM,
4,461515916,162643975,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC=C(C=C4)F)C5=CC=CC=C5)C(=O)C1)C,Unspecified,,,,20,EC50,>,20000,nM,
5,461516024,162644054,CC1(CC2=C(CN(C(N2C3=CC=C(C=C3)CC4=CC=CC=C4)C5=CC=C(C=C5)Br)C6=CC=C(C=C6)Cl)C(=O)C1)C,Unspecified,,,,20,EC50,>,20000,nM,
6,461542381,162662556,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC=C(C=C4)Br)C5=CC=C(C=C5)C(F)(F)F)C(=O)C1)C,Active,,,,4.02,EC50,=,4020,nM,
7,461542629,162662720,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC=C(C=C4)Br)C5=CC=C(C=C5)OC)C(=O)C1)C,Active,,,,5.42,EC50,=,5420,nM,
8,461542803,162662844,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC=C(C=C4)Br)C5=CC=C(C=C5)OC6=CC=CC=C6)C(=O)C1)C,Active,,,,1.85,EC50,=,1850,nM,
9,461543263,141535147,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC=C(C=C4)Br)C5=CC=CC=C5)C(=O)C1)C,Active,,,,2.85,EC50,=,2850,nM,
10,461544483,162664049,CC(C)C1=CC=C(C=C1)C2N(CC3=C(N2C4=CC=CC=C4)CC(CC3=O)(C)C)C5=CC=CC=C5,Active,,,,3.6,EC50,=,3600,nM,
11,461544719,162664226,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC=CC=C4Br)C5=CC=CC=C5)C(=O)C1)C,Active,,,,3.88,EC50,=,3880,nM,
12,461544958,162664392,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC=C(C=C4)Br)C5=CC=CC=C5Cl)C(=O)C1)C,Unspecified,,,,20,EC50,>,20000,nM,
13,461545101,162664493,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC=C(C=C4)OCC5=CC=CC=C5)C6=CC=CC=C6)C(=O)C1)C,Active,,,,2.61,EC50,=,2610,nM,
14,461545415,162664724,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC=C(C=C4)OC(F)(F)F)C5=CC=CC=C5)C(=O)C1)C,Active,,,,2.52,EC50,=,2520,nM,
15,461545559,162664820,CC1(CC2=C(CN(C(N2C3=CC=C(C=C3)F)C4=CC=C(C=C4)Br)C5=CC=C(C=C5)Cl)C(=O)C1)C,Active,,,,2.64,EC50,=,2640,nM,
16,461545939,132594362,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5)C(=O)C1)C,Unspecified,,,,20,EC50,>,20000,nM,
17,461545977,162665105,CC1(CC2=C(CN(C(N2C3=CC(=CC=C3)Cl)C4=CC=C(C=C4)Br)C5=CC=C(C=C5)Cl)C(=O)C1)C,Active,,,,5.6,EC50,=,5600,nM,
18,461547288,162666003,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC=C(C=C4)Br)C5=CC=C(C=C5)OC(F)(F)F)C(=O)C1)C,Active,,,,1.84,EC50,=,1840,nM,
19,461547869,162666409,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC(=CC=C4)C(F)(F)F)C5=CC=CC=C5)C(=O)C1)C,Active,,,,1.32,EC50,=,1320,nM,
20,461548398,162666772,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC=C(C=C4)Br)C5=CC=C(C=C5)C6=CC=CC=C6)C(=O)C1)C,Unspecified,,,,20,EC50,>,20000,nM,
21,461548401,162666775,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC=C(C=C4)Cl)C5=CC=CC=C5)C(=O)C1)C,Active,,,,5.96,EC50,=,5960,nM,
22,461549124,162667270,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC=C(C=C4)Br)C5=CC6=CC=CC=C6C=C5)C(=O)C1)C,Active,,,,1.77,EC50,=,1770,nM,
23,461552436,162669614,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC(=CC=C4)Br)C5=CC=CC=C5)C(=O)C1)C,Active,,,,1.31,EC50,=,1310,nM,
24,461552436,162669614,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC(=CC=C4)Br)C5=CC=CC=C5)C(=O)C1)C,Unspecified,,,Potential missing data,,Activity,,,,Dose-dependent effect
25,461552968,162669975,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5)C(=O)C1)C,Active,,,,7.45,EC50,=,7450,nM,
26,461553162,162670112,CC1(CC2=C(CN(C(N2C3=CC=CC=C3)C4=CC=C(C=C4)C(C)(C)C)C5=CC=CC=C5)C(=O)C1)C,Active,,,,8.61,EC50,=,8610,nM,
27,461553809,162670563,CC(C)C1N(CC2=C(N1C3=CC=CC=C3)CC(CC2=O)(C)C)C4=CC=CC=C4,Unspecified,,,,20,EC50,>,20000,nM,
