PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
1,103538525,3011893,C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined,
2,103619997,37542,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,Unspecified,,,,11.9,EC50,=,11900,nM,,
3,103768671,46898022,C1COCCN1C2=NC3=C(C(=N2)NC4=CC=C(C=C4)S(=O)(=O)N)NC=N3,Inactive,,,Potential missing data,,EC50,,,,Not Active,
4,318373047,122178656,C1=CC(=CC(=C1)O)NC2=NC(=NC3=C2NC=N3)NCCO,Active,,,,7.4,EC50,=,7400,nM,,
5,440109388,155510408,C1COCCN1C2=NC3=C(CN(C3=O)CCOC4=CC=CC=C4)C(=N2)NC5=CC=C(C=C5)S(=O)(=O)N,Unspecified,,,,12.2,EC50,=,12200,nM,,
6,440115503,155514335,C1COCCN1C2=NC3=C(COC3=O)C(=N2)NC4=CC(=CC=C4)O,Unspecified,,,,128,EC50,>,128000,nM,,Outside typical range
7,440116843,155515185,C1COCCN1C2=NC3=C(C(=N2)NC4=CC(=CC=C4)O)NC=N3,Unspecified,,,,40.6,EC50,=,40600,nM,,
8,440119476,155516971,C1COCCN1C2=NC3=C(CN(C3=O)CCC4=CC=CC=C4)C(=N2)NC5=CC(=CC=C5)O,Unspecified,,,,70.7,EC50,=,70700,nM,,
9,440125794,155521006,C1=CC=C(C=C1)OCCNC2=NC3=C(C(=N2)NC4=CC(=CC=C4)O)NC=N3,Active,,,,10,EC50,=,10000,nM,,
10,440127298,155522000,C1COCCN1C2=NC(=C(C(=N2)NC3=CC(=CC=C3)O)CO)C(=O)NCCOC4=CC=CC=C4,Unspecified,,,,62.1,EC50,=,62100,nM,,
11,440128356,155522668,C1COCCN1C2=NC3=C(CN(C3=O)CCOC4=CC=CC=C4)C(=N2)NC5=CC(=CC=C5)O,Unspecified,,,,20.6,EC50,=,20600,nM,,
12,440130057,155523777,CCCCCOCC1=C(N=C(N=C1NC2=CC=C(C=C2)S(=O)(=O)N)N3CCOCC3)C(=O)NCCOC4=CC=CC=C4,Active,,,,1.82,EC50,=,1820,nM,,
13,440130611,155524133,COC1=CC=C(C=C1)CN2CC3=C(C2=O)N=C(N=C3NC4=CC(=CC=C4)O)N5CCOCC5,Unspecified,,,,112,EC50,>,112000,nM,,Outside typical range
14,440133413,155525987,CCCCCOCC1=C(N=C(N=C1NC2=CC(=CC=C2)O)N3CCOCC3)C(=O)NCC4=CC=C(C=C4)C(F)(F)F,Unspecified,,,,10.9,EC50,=,10900,nM,,
15,440142269,155531795,C1COCCN1C2=NC(=C(C(=N2)NC3=CC(=CC=C3)O)CO)C(=O)NCCC4=CC=CC=C4,Unspecified,,,,20.7,EC50,=,20700,nM,,
16,440142287,146166240,C1COCCN1C2=NC(=C(C(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)CO)C(=O)NCC4=CC=CC=C4,Unspecified,,,,100,EC50,>,100000,nM,,
17,440143712,155532725,COC1=CC=C(C=C1)CNC(=O)C2=C(C(=NC(=N2)N3CCOCC3)NC4=CC(=CC=C4)O)CO,Unspecified,,,,107,EC50,>,107000,nM,,Outside typical range
18,440146980,155534916,CCCCCOCC1=C(N=C(N=C1NC2=CC=C(C=C2)S(=O)(=O)N)N3CCOCC3)C(=O)NCC4=CC=CC=C4,Active,,,,1,EC50,=,1000,nM,,
19,440149113,155536251,C1COCCN1C2=NC(=C(C(=N2)NC3=CC(=CC=C3)O)CO)C(=O)NCC4=CC=CC=C4,Unspecified,,,,115,EC50,>,115000,nM,,Outside typical range
20,440155930,155539978,CCCCCOCC1=C(N=C(N=C1NC2=CC=C(C=C2)S(=O)(=O)N)N3CCOCC3)C(=O)NCC4=CC=C(C=C4)OC,Unspecified,,,,83.5,EC50,>,83500,nM,,
21,440173565,155547162,COC1=CC=C(C=C1)CN2CC3=C(C2=O)N=C(N=C3NC4=CC=C(C=C4)S(=O)(=O)N)N5CCOCC5,Unspecified,,,,97.9,EC50,>,97900,nM,,
22,440193720,155555176,CCCCCOCC1=C(N=C(N=C1NC2=CC(=CC=C2)O)N3CCOCC3)C(=O)NCC4=CC=CC=C4,Unspecified,,,,20.7,EC50,=,20700,nM,,
23,440216786,155564393,C1COCCN1C2=NC3=C(CN(C3=O)CC4=CC=CC=C4)C(=N2)NC5=CC(=CC=C5)O,Unspecified,,,,100,EC50,=,100000,nM,,
24,440218930,146166239,C1COCCN1C2=NC3=C(CN(C3=O)CC4=CC=CC=C4)C(=N2)NC5=CC=C(C=C5)S(=O)(=O)N,Unspecified,,,,21.6,EC50,=,21600,nM,,
25,440223566,146166237,C1COCCN1C2=NC3=C(COC3=O)C(=N2)NC4=CC=C(C=C4)S(=O)(=O)N,Unspecified,,,,128,EC50,>,128000,nM,,Outside typical range
