PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103649276,44590045,C[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC2=CC(=C(C=C2)O)[N+](=O)[O-])C(=O)N)NC(=O)C3=CC=CC=C3N,Unspecified,,,,,Kcat,=,2.38,/min
2,103649276,44590045,C[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC2=CC(=C(C=C2)O)[N+](=O)[O-])C(=O)N)NC(=O)C3=CC=CC=C3N,Unspecified,,,,11.43,Km,=,11430,nM
3,103649277,44590046,C1=CC=C(C(=C1)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CC3=CN=CN3)C(=O)NCC(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC4=CC(=C(C=C4)O)[N+](=O)[O-])C(=O)N)N,Active,,,,9.1,Km,=,9100,nM
4,103649277,44590046,C1=CC=C(C(=C1)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CC3=CN=CN3)C(=O)NCC(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC4=CC(=C(C=C4)O)[N+](=O)[O-])C(=O)N)N,Unspecified,,,,,Kcat,=,0.24,/min
5,103649278,44590047,C1=CC=C(C(=C1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC2=CC(=C(C=C2)O)[N+](=O)[O-])C(=O)N)N,Unspecified,,,,,Kcat,=,0.27,/min
6,103649278,44590047,C1=CC=C(C(=C1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC2=CC(=C(C=C2)O)[N+](=O)[O-])C(=O)N)N,Unspecified,,,,170.98,Km,=,170980,nM
7,103649279,44590048,C1=CC=C(C(=C1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC2=CC(=C(C=C2)O)[N+](=O)[O-])C(=O)N)N,Unspecified,,,,,Kcat,=,3.93,/min
8,103649279,44590048,C1=CC=C(C(=C1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC2=CC(=C(C=C2)O)[N+](=O)[O-])C(=O)N)N,Unspecified,,,,15.41,Km,=,15410,nM
9,103649280,44590049,C[C@H]([C@@H](C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC1=CC(=C(C=C1)O)[N+](=O)[O-])C(=O)N)NC(=O)[C@H](CC2=CNC3=CC=CC=C32)NC(=O)[C@H](CC(=O)N)NC(=O)C4=CC=CC=C4N)O,Unspecified,,,,,Kcat,=,0.87,/min
10,103649280,44590049,C[C@H]([C@@H](C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC1=CC(=C(C=C1)O)[N+](=O)[O-])C(=O)N)NC(=O)[C@H](CC2=CNC3=CC=CC=C32)NC(=O)[C@H](CC(=O)N)NC(=O)C4=CC=CC=C4N)O,Unspecified,,,,13.73,Km,=,13730,nM
11,103649281,44590050,C[C@H]([C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC1=CC(=C(C=C1)O)[N+](=O)[O-])C(=O)N)NC(=O)CNC(=O)C2=CC=CC=C2N)O,Unspecified,,,,,Kcat,=,1.16,/min
12,103649281,44590050,C[C@H]([C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC1=CC(=C(C=C1)O)[N+](=O)[O-])C(=O)N)NC(=O)CNC(=O)C2=CC=CC=C2N)O,Unspecified,,,,10.5,Km,=,10500,nM
13,103649282,44590051,C[C@@H](C(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC2=CC(=C(C=C2)O)[N+](=O)[O-])C(=O)N)NC(=O)C3=CC=CC=C3N,Unspecified,,,,,Kcat,=,1.54,/min
14,103649282,44590051,C[C@@H](C(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC2=CC(=C(C=C2)O)[N+](=O)[O-])C(=O)N)NC(=O)C3=CC=CC=C3N,Unspecified,,,,12.56,Km,=,12560,nM
15,103649283,44590052,C1C[C@H](N(C1)C(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)C2=CC=CC=C2N)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC3=CC(=C(C=C3)O)[N+](=O)[O-])C(=O)N,Unspecified,,,,,Kcat,=,1.21,/min
16,103649283,44590052,C1C[C@H](N(C1)C(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)C2=CC=CC=C2N)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC3=CC(=C(C=C3)O)[N+](=O)[O-])C(=O)N,Unspecified,,,,31.95,Km,=,31950,nM
17,103649284,44590053,C1=CC=C(C(=C1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC3=CC(=C(C=C3)O)[N+](=O)[O-])C(=O)N)N,Unspecified,,,,,Kcat,=,4.11,/min
18,103649284,44590053,C1=CC=C(C(=C1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC3=CC(=C(C=C3)O)[N+](=O)[O-])C(=O)N)N,Unspecified,,,,26.33,Km,=,26330,nM
19,103649286,44590055,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC3=CC(=C(C=C3)O)[N+](=O)[O-])C(=O)N)NC(=O)[C@H](CC4=CN=CN4)NC(=O)C5=CC=CC=C5N,Unspecified,,,,,Kcat,=,0.15,/min
20,103649286,44590055,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC3=CC(=C(C=C3)O)[N+](=O)[O-])C(=O)N)NC(=O)[C@H](CC4=CN=CN4)NC(=O)C5=CC=CC=C5N,Unspecified,,,,17.19,Km,=,17190,nM
21,103649287,44590056,C[C@H]([C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC1=CC(=C(C=C1)O)[N+](=O)[O-])C(=O)N)NC(=O)CNC(=O)CNC(=O)C2=CC=CC=C2N)O,Unspecified,,,,,Kcat,=,4.29,/min
22,103649287,44590056,C[C@H]([C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC1=CC(=C(C=C1)O)[N+](=O)[O-])C(=O)N)NC(=O)CNC(=O)CNC(=O)C2=CC=CC=C2N)O,Unspecified,,,,49.72,Km,=,49720,nM
23,103649288,44590057,C[C@@H](C(=O)N[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC1=CC(=C(C=C1)O)[N+](=O)[O-])C(=O)N)NC(=O)C2=CC=CC=C2N,Unspecified,,,,,Kcat,=,2.11,/min
24,103649288,44590057,C[C@@H](C(=O)N[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC1=CC(=C(C=C1)O)[N+](=O)[O-])C(=O)N)NC(=O)C2=CC=CC=C2N,Unspecified,,,,31.42,Km,=,31420,nM
25,103649289,44590058,CC(C)[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC1=CC(=C(C=C1)O)[N+](=O)[O-])C(=O)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)C2=CC=CC=C2N,Unspecified,,,,,Kcat,=,0.36,/min
26,103649289,44590058,CC(C)[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC1=CC(=C(C=C1)O)[N+](=O)[O-])C(=O)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)C2=CC=CC=C2N,Unspecified,,,,106.17,Km,=,106170,nM
27,103649290,44590059,CC(C)C[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC2=CC(=C(C=C2)O)[N+](=O)[O-])C(=O)N)NC(=O)[C@H](CC(=O)NC(=O)C3=CC=CC=C3N)N,Unspecified,,,,,Kcat,=,0.59,/min
