PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Text Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Standardized version of non-numeric measurement,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,,
1,103551198,1712511,C1COCCN1C(=O)C(=O)C2=CNC3=CC=CC=C32,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
2,103704476,655490,COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CC=C3)N,Active,,,,3.47,IC50,=,3470,,nM,"Scaffold Is Likely Acting Through Covalent Inhibition, Given Evidence In 10.1016/J.Str.2018.02.005",
3,194136348,319368,C1=CC=C(C=C1)COC(=O)NC2=CC=CC=C2,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
4,194147905,78644,C1=CC=C(C=C1)NC(=O)OC2=CC=CC=C2,Unspecified,,,,59.82,IC50,>,59820,,nM,Falls Outside The Dose Series,
5,194166104,72723356,CC(C)(C)OC(=O)N[C@@H](CCSC)C(=O)N1CCC[C@H]1C(=O)NC2=CC=C(C=C2)[N+](=O)[O-],Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
6,194186608,10406595,CSCC[C@@H](C(=O)N1CCC[C@H]1C(=O)NC2=CC=C(C=C2)[N+](=O)[O-])N,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
7,242194387,3248847,C1=CC=C2C(=C1)N=CC(=N2)SCC3=CN4C=CC=CC4=N3,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
8,242333749,3378440,C1=CC(=C2C(=C1[N+](=O)[O-])C(=O)C3=C(C=CC(=C3C2=O)O)[N+](=O)[O-])O,Unspecified,,,,12.668,IC50,=,12668,,nM,,
9,242333749,3378440,C1=CC(=C2C(=C1[N+](=O)[O-])C(=O)C3=C(C=CC(=C3C2=O)O)[N+](=O)[O-])O,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
10,336889294,127039816,C1=CC(=CC=C1COC2=CC=C(C=C2)[C@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C3=NC=CS3)C(F)(F)F,Active,,,,4.099,IC50,=,4099,,nM,,
11,336889294,127039816,C1=CC(=CC=C1COC2=CC=C(C=C2)[C@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C3=NC=CS3)C(F)(F)F,Active,,,,3.079,IC50,=,3079,,nM,,
12,336889294,127039816,C1=CC(=CC=C1COC2=CC=C(C=C2)[C@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C3=NC=CS3)C(F)(F)F,Active,,,,2.938,IC50,=,2938,,nM,,
13,336889294,127039816,C1=CC(=CC=C1COC2=CC=C(C=C2)[C@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C3=NC=CS3)C(F)(F)F,Active,,,,3.437,IC50,=,3437,,nM,,
