PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
1,103466622,442027,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C)O,Unspecified,,,,90.4,IC50,=,90400,nM,,
2,123095009,52946772,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCC[C@@]3(C)C=O)C)O,Unspecified,,,,90.8,IC50,=,90800,nM,,
3,123097261,31703,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,Active,,,,1.93,IC50,=,1930,nM,,
4,124974065,36314,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,Active,,,,0.65,IC50,=,650,nM,,
5,312359873,16115072,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCC[C@@]3(C)CN4C(=O)C5=CC=CC=C5C4=O)C)OC(=O)C,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined,
6,312359874,16115073,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCC[C@@]3(C)CN4C(=O)C5=CC=CC=C5C4=O)C)O,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined,
7,312359875,71481619,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCC[C@@]3(C)CN)C)O,Unspecified,,,,39.8,IC50,=,39800,nM,,
8,312359876,118715113,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCC[C@@]3(C)CN4C(=O)C5=C(C4=O)C(=C(C(=C5Cl)Cl)Cl)Cl)C)O,Unspecified,,,,266.8,IC50,=,266800,nM,,Outside typical range
9,312359877,102314234,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCC[C@@]3(C)CN4C(=O)C5=C(C4=O)C(=C(C(=C5Cl)Cl)Cl)Cl)C)OC(=O)C,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined,
10,312359878,102314239,CC(C)C1=C(C=C2C(=C1)C(=O)C[C@@H]3[C@@]2(CCC[C@@]3(C)CN4C(=O)C5=C(C4=O)C(=C(C(=C5Cl)Cl)Cl)Cl)C)OC(=O)C,Unspecified,,,,320,IC50,>,320000,nM,,Outside typical range
11,336865634,127025198,CC1=CC=C(C=C1)S(=O)(=O)NC[C@@]2(CCC[C@]3([C@H]2CCC4=CC(=C(C=C43)O)C(C)C)C)C,Unspecified,,,,82.5,IC50,=,82500,nM,,
12,336866965,127026093,CC1=CC=C(C=C1)S(=O)(=O)/N=C\2/C[C@H]3[C@](CCC[C@@]3(C4=CC(=C(C=C24)C(C)C)OC(=O)C)C)(C)CN5C(=O)C6=C(C5=O)C(=C(C(=C6Cl)Cl)Cl)Cl,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined,
