PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,336893572,127043014,COC1=C(C=C(C=C1)C(=O)O)C2=CC=C(S2)C#CCO,Active,,,,1.7,Kd,=,1700,nM,
2,336893573,127043015,CC1=CC(=C(C=C1C(=O)O)C2=CC=C(S2)C#CCO)OC,Active,,,,0.11,Kd,=,110,nM,
3,336893582,127043024,CC1=CC(=C(C=C1C(=O)NS(=O)(=O)C2=CC=CC=C2)C3=CC=C(S3)C#CCO)OC,Inconclusive,,,Potential missing data,,Kd,,,,Not Determined
4,336893583,127043025,COC1=CC(=C(C=C1C2=CC=C(S2)C#CCO)C(=O)NS(=O)(=O)C3=CC=CC=C3)OC,Active,,,,0.09,Kd,=,90,nM,
5,336893584,121232415,COC1=CC(=CC=C1)S(=O)(=O)NC(=O)C2=C(C=C(C(=C2)C3=CC=C(S3)C#CCO)OC)OC,Active,,,,0.07,Kd,=,70,nM,
6,336893835,127043211,COC1=CC(=CC=C1)S(=O)(=O)NC(=O)C2=C(C=C(C(=C2)C3=CC=C(S3)C#CCO)Cl)OC,Active,,,,0.01,Kd,=,10,nM,
7,336893836,127043212,CC1=CC(=C(C=C1S(=O)(=O)NC(=O)C2=CC=CC3=C2N=CC=C3)C4=CC=C(S4)C#CCO)OC,Active,,,,0.007,Kd,=,7,nM,
8,336896287,127044864,COC1=C(C=C(C=C1)CC(=O)O)C2=CC=C(S2)C#CCO,Active,,,,2.2,Kd,=,2200,nM,
9,336896547,118797902,CC1=CC(=C(C=C1C(=O)NS(=O)(=O)C)C2=CC=C(S2)C#CCO)OC,Active,,,,0.12,Kd,=,120,nM,
