PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103726333,46231129,C[C@H]([C@@H](C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](CS)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CS)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(=O)N)C(=O)O)NC(=O)CNC(=O)CNC(=O)[C@H](C(C)C)NC(=O)[C@H](CS)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@H](CS)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CC(C)C)NC(=O)CN)O,Inactive,,,Potential missing data,,Activity,,,,Not Active
2,103726334,46231130,C[C@H]([C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)NC(=O)C[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@@H]3C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N4CCC[C@H]4C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CS)C(C)C)CC5=CNC6=CC=CC=C65)CO)CCCNC(=N)N)CCCNC(=N)N)CS)[C@@H](C)O)N)CS)CCCNC(=N)N)CCCNC(=N)N)CO)CCC(=O)O)CCC(=O)O)CO)CS)C(C)C)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)O,Active,,,Potential missing data,,Activity,,,,Active
3,103726335,46231131,C[C@H]([C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N4CCC[C@H]4C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N1)C(C)C)CS)[C@@H](C)O)CCC(=O)O)CS)C(C)C)CC(C)C)CC(=O)N)CCCNC(=N)N)[C@@H](C)O)CS)C(C)C)CCC(=O)O)CO)CS)[C@@H](C)O)CS)[C@@H](C)O)CC(=O)N)CS)O,Inactive,,,Potential missing data,,Activity,,,,Not Active
4,103726336,46231132,C[C@H]([C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)NC(=O)C[C@@H](C(=O)N[C@H](C(=O)N4CCC[C@H]4C(=O)NCC(=O)N[C@H]5CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]6CCCN6C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC5=O)CCCNC(=N)N)CCCNC(=N)N)CO)CC7=CNC8=CC=CC=C87)C(C)C)[C@@H](C)O)N)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC3=O)CO)CCC(=O)O)CCC(=O)O)CO)CCCNC(=N)N)CCCNC(=N)N)C(C)C)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)O,Active,,,,4.3,IC50,=,4300,nM,
5,103726336,46231132,C[C@H]([C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@H](C(=O)N[C@H]3CSSC[C@@H](C(=O)NC(=O)C[C@@H](C(=O)N[C@H](C(=O)N4CCC[C@H]4C(=O)NCC(=O)N[C@H]5CSSC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)[C@@H]6CCCN6C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC5=O)CCCNC(=N)N)CCCNC(=N)N)CO)CC7=CNC8=CC=CC=C87)C(C)C)[C@@H](C)O)N)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC3=O)CO)CCC(=O)O)CCC(=O)O)CO)CCCNC(=N)N)CCCNC(=N)N)C(C)C)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)O,Active,,,,1.39,Ki,=,1390,nM,
