PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
1,312361122,46975833,CC1=CC(=C(C=C1)NC(=O)C2=C(N=CN2)C(=O)NC3=CC=C(C=C3)F)C4=NNC(=C4)C,Active,,,,3.5,EC50,=,3500,nM,,
2,461518522,162645823,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=C(C=C(C=C3)C)C4=CC=C(S4)C,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined,
3,461519453,162646520,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=CC=C(C=C3)F)C4=CC=CS4,Unspecified,,,,23.2,EC50,=,23200,nM,,
4,461520190,162647041,CC1=CC(=NN1)C2=CC=CC=C2NC(=O)C3=NC=CN=C3C(=O)NC4=CC=C(C=C4)F,Active,,,,7.8,EC50,=,7800,nM,,
5,461522466,162648624,C1=CC=C(C(=C1)CNC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CSC=C4,Active,,,,3.9,EC50,=,3900,nM,,
6,461523044,162649020,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=C(C=C(C=C3)C)C4=CC=CS4,Unspecified,,,,23.2,EC50,=,23200,nM,,
7,461524997,162650386,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2NC(=O)C3=CC=C(C=C3)F)C4=CC=NC=C4,Unspecified,,,,117,EC50,>,117000,nM,,Outside typical range
8,461525180,162650514,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2NC(=O)C3=CC=C(C=C3)F)C4=CN=CC=C4,Unspecified,,,,117,EC50,>,117000,nM,,Outside typical range
9,461527893,162652386,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NCC3=CC=C(C=C3)C4=CSC=C4,Unspecified,,,,21.5,EC50,=,21500,nM,,
10,461528221,162652622,C1=CC=C(C(=C1)C(=O)NCC2=CC=C(C=C2)C3=CSC=C3)C(=O)NC4=CC=C(C=C4)F,Active,,,,7.4,EC50,=,7400,nM,,
11,461528593,162652877,CC1=CC(=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CC=CS4,Unspecified,,,,23,EC50,=,23000,nM,,
12,461528804,162653023,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=CC=CC=C3C4=NNC(=C4)C,Active,,,,5.8,EC50,=,5800,nM,,
13,461529664,162653656,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=C(C=C(C=C3)C)C4=NNC(=C4)C,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined,
14,461531137,162654667,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=C(C=C(C=C3)C)C4=CC=CS4,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined,
15,461531623,162655014,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=C(C=C(C=C3)C)C4=CC=C(S4)C,Active,,,,6.8,EC50,=,6800,nM,,
16,461533698,162656456,C1=CC=C(C(=C1)CNC(=O)C2=CC=CC=C2C(=O)NC3=CC=C(C=C3)F)C4=CSC=C4,Active,,,,1.4,EC50,=,1400,nM,,
17,461539331,162660468,CC1=CC(=NN1)C2=CC=CC=C2NC(=O)C3=CC=CC=C3C(=O)NC4=CC=C(C=C4)F,Unspecified,,,,12,EC50,=,12000,nM,,
18,461540730,162661415,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=CC=C3C4=NNC(=C4)C,Active,,,,0.4,EC50,=,400,nM,,
19,461541238,162661765,CC1=CC(=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CSC=C4,Unspecified,,,,10.6,EC50,=,10600,nM,,
20,461541564,162662006,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2NC(=O)C3=CC=C(C=C3)F)C4=CC=C(S4)C,Unspecified,,,,113,EC50,>,113000,nM,,Outside typical range
21,461545482,162664769,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=C(C=C(C=C3)C)C4=CSC=C4,Unspecified,,,,116,EC50,>,116000,nM,,Outside typical range
22,461545709,162664923,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=CC=C(C=C3)F)C4=CC=C(S4)C,Active,,,,6.8,EC50,=,6800,nM,,
23,461546306,162665332,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NCC3=CC=CC=C3C4=CSC=C4,Active,,,,2.6,EC50,=,2600,nM,,
24,461548993,162667182,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=C(C=C(C=C3)C)C4=NNC(=C4)C,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined,
25,461549675,162667663,C1=CC(=CC=C1CNC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CSC=C4,Unspecified,,,,18.5,EC50,=,18500,nM,,
26,461549904,162667823,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NCC3=CC=CC=C3C4=CSC=C4,Active,,,,5.4,EC50,=,5400,nM,,
27,461550133,162667975,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2NC(=O)C3=CC=C(C=C3)F)C4=CSC=C4,Unspecified,,,,116,EC50,>,116000,nM,,Outside typical range
28,461551311,162668809,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NCC3=CC=C(C=C3)C4=CSC=C4,Active,,,,3.3,EC50,=,3300,nM,,
29,461554641,162671146,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=C(C=C(C=C3)C)C4=CSC=C4,Active,,,,1.9,EC50,=,1900,nM,,
30,461554671,162671164,CC1=CC(=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=NNC(=C4)C,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined,
31,461556965,162672831,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=CC=C(C=C3)F)C4=CSC=C4,Active,,,,6.5,EC50,=,6500,nM,,
32,461561300,162675877,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=CC=C(C=C3)F)C4=NNC(=C4)C,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined,
