PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,440110845,155511221,C1[C@@H](C(=O)N1C2=CC=CC=C2)NC(=O)[C@@H](C3=CC=C(C=C3)OCC4=CC=CC=C4)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C5=CC=CC=C5,Active,,,,2.3,IC50,=,2300,nM
2,440128316,155522643,CC1=CC(=CC=C1)N2C[C@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)OCC4=CC=CC=C4)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C5=CC=CC=C5,Unspecified,,,,16.4,IC50,=,16400,nM
3,440138076,155529022,CC1=CC(=CC=C1)N2C[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)OCC4=CC=CC=C4)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C5=CC=CC=C5,Active,,,,2.8,IC50,=,2800,nM
4,440168812,155545268,C1[C@H](C(=O)N1C2=CC=CC=C2)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C3=CC=CC=C3,Unspecified,,,,17.7,IC50,=,17700,nM
5,440177483,155548725,C1[C@@H](C(=O)N1C2=CC(=CC=C2)F)NC(=O)[C@@H](C3=CC=C(C=C3)OCC4=CC=CC=C4)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C5=CC=CC=C5,Active,,,,1.9,IC50,=,1900,nM
6,440187468,155552740,CC1=CC=C(C=C1)N2C[C@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)OCC4=CC=CC=C4)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C5=CC=CC=C5,Unspecified,,,,15.9,IC50,=,15900,nM
7,440190710,155553985,C1[C@@H](C(=O)N1C2=CC=C(C=C2)F)NC(=O)[C@@H](C3=CC=C(C=C3)OCC4=CC=CC=C4)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C5=CC=CC=C5,Active,,,,2.5,IC50,=,2500,nM
8,440203377,155559044,C1[C@H](C(=O)N1C2=CC(=CC=C2)F)NC(=O)[C@@H](C3=CC=C(C=C3)OCC4=CC=CC=C4)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C5=CC=CC=C5,Unspecified,,,,12.4,IC50,=,12400,nM
9,440207513,155560697,CC1=CC=C(C=C1)N2C[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)OCC4=CC=CC=C4)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C5=CC=CC=C5,Active,,,,2.7,IC50,=,2700,nM
