PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Additional comments
1,312361122,46975833,CC1=CC(=C(C=C1)NC(=O)C2=C(N=CN2)C(=O)NC3=CC=C(C=C3)F)C4=NNC(=C4)C,Unspecified,,,,Ratio CC50/EC50,=,34.5,
2,312361123,118716013,CC1=CC(=NN1)C2=CC=CC=C2NC(=O)C3=C(N=CN3)C(=O)NC4=CC=C(C=C4)F,Unspecified,,,,Ratio CC50/EC50,=,67,
3,312361124,118716014,C1=CC=C(C(=C1)CNC(=O)C2=C(N=CN2)C(=O)NC3=CC=C(C=C3)F)C4=CC=NC=C4,Unspecified,,,,Ratio CC50/EC50,=,31,
4,312361125,118716015,C1=CC=C(C(=C1)CNC(=O)C2=C(N=CN2)C(=O)NC3=CC=C(C=C3)F)C4=CSC=C4,Unspecified,,,,Ratio CC50/EC50,=,13.2,
5,312361126,118716016,C1=CC(=CN=C1)C2=CC=C(C=C2)CNC(=O)C3=C(N=CN3)C(=O)NC4=CC=C(C=C4)F,Unspecified,,,,Ratio CC50/EC50,=,10,
6,312361127,118716017,C1=CC(=CC=C1CNC(=O)C2=C(N=CN2)C(=O)NC3=CC=C(C=C3)F)C4=CSC=C4,Unspecified,,,,Ratio CC50/EC50,=,4.13,
7,312361128,118716018,C1=CC(=CC=C1CNC(=O)C2=C(N=CN2)C(=O)NC3=CC=C(C=C3)F)C4=CC=NC=C4,Unspecified,,,,Ratio CC50/EC50,=,1,
8,312361129,118716019,CC1=CC(=C(C=C1)NC(=O)C2=C(N=CN2)C(=O)NC3=CC=C(C=C3)F)C4=CSC=C4,Unspecified,,,,Ratio CC50/EC50,=,1,
9,312361130,118716020,CC1=CC(=C(C=C1)NC(=O)C2=C(N=CN2)C(=O)NC3=CC=C(C=C3)F)C4=CC=CO4,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
10,312361131,118716021,CC1=CC(=C(C=C1)NC(=O)C2=C(N=CN2)C(=O)NC3=CC=CC=C3)C4=CSC=C4,Unspecified,,,,Ratio CC50/EC50,=,13,
