PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,163319768,71452879,C1=CC2=C(C=C1Cl)C3=C(N=CN=C3N2[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)C5=CSC=C5,Unspecified,,,,86.95,IC50,=,86950,nM
2,163319780,71452885,C1=COC(=C1)C2=C3C4=C(C=CC(=C4)C5=COC=C5)N(C3=NC=N2)[C@H]6[C@@H]([C@@H]([C@H](O6)CO)O)O,Unspecified,,,,32.06,IC50,=,32060,nM
3,163323203,71454644,C1=CC2=C(C=C1Cl)C3=C(N=CN=C3N2[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)C5=COC=C5,Unspecified,,,,24.44,IC50,=,24440,nM
4,163326597,71456365,C1=CSC(=C1)C2=C3C4=C(C=CC(=C4)Cl)N(C3=NC=N2)[C@H]5[C@@H]([C@@H]([C@H](O5)CO)O)O,Active,,,,0.335,IC50,=,335,nM
5,163326608,71456372,C1=COC(=C1)C2=CC3=C(C=C2)N(C4=NC=NC(=C34)C5=CC=CO5)[C@H]6[C@@H]([C@@H]([C@H](O6)CO)O)O,Unspecified,,,,17.95,IC50,=,17950,nM
6,163326609,71456373,C1=CC=C(C=C1)C2=CC3=C(C=C2)N(C4=NC=NC(=C34)C5=CC=CO5)[C@H]6[C@@H]([C@@H]([C@H](O6)CO)O)O,Active,,,,2.91,IC50,=,2910,nM
7,163330037,71458211,C1=CC=C2C(=C1)C=C(O2)C3=C4C5=C(C=CC(=C5)Cl)N(C4=NC=N3)[C@H]6[C@@H]([C@@H]([C@H](O6)CO)O)O,Active,,,,0.976,IC50,=,976,nM
8,163330038,71458212,C1=CC=C2C(=C1)C3=C(N=CN=C3N2[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)C5=CC=CO5,Unspecified,,,,82.73,IC50,=,82730,nM
9,163337010,71461785,C1=COC(=C1)C2=C3C4=C(C=CC(=C4)Cl)N(C3=NC=N2)[C@H]5[C@@H]([C@@H]([C@H](O5)CO)O)O,Active,,,,0.238,IC50,=,238,nM
10,163337011,71461786,C1=CC=C(C=C1)C2=C3C4=C(C=CC(=C4)Cl)N(C3=NC=N2)[C@H]5[C@@H]([C@@H]([C@H](O5)CO)O)O,Unspecified,,,,26.42,IC50,=,26420,nM
