PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103619997,37542,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,Active,,,,4,IC50,=,4000,nM,
2,123086722,45375808,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H]([C@@]([C@@H](O1)N2C=CC(=O)NC2=O)(C)F)O)OC3=CC=CC=C3,Active,,,,3.8,IC50,=,3800,nM,
3,440171730,122455309,CCCCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC=CC=C3C,Active,,,,2.55,IC50,=,2550,nM,
4,440174794,122455264,CCCCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3O,Active,,,,1.6,IC50,=,1600,nM,
5,440182334,122494885,CCOCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3C(F)(F)F,Active,,,,2.6,IC50,=,2600,nM,
6,440213395,122455390,CCCCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3C(F)(F)F,Active,,,,6.1,IC50,=,6100,nM,
7,440218061,155564894,CCCCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3OC,Active,,,,6.3,IC50,=,6300,nM,
8,440227299,122494869,CCCCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC4=C3C=CN=C4,Active,,,,2.3,IC50,=,2300,nM,
9,442046726,122455302,CC(C)CCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC=CC=C3F,Active,,,,0.9,IC50,=,900,nM,
10,442047096,156009995,CCCCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC=CC=C3NS(=O)(=O)C,Active,,,,2.5,IC50,=,2500,nM,
11,442047678,156010392,CCOCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC(=C3)C(=O)OCC,Active,,,,4.3,IC50,=,4300,nM,
12,442048727,122455343,CC(=O)CCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC(=CC=C3)F,Active,,,,0.3,IC50,=,300,nM,
13,442050948,122455368,CCOCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC(=CC=C3)F,Unspecified,,,,145,IC50,>,145000,nM,Outside typical range
14,442052829,122455324,CCCCCCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC=CC=C3C(F)(F)F,Active,,,,2.7,IC50,=,2700,nM,
15,442054735,122455311,CC1=CC=CC=C1NC(=O)NC2=CC=C(C=C2)N3C=C(N=N3)CCC(C)C,Active,,,,1.4,IC50,=,1400,nM,
16,442054864,122455265,CCCCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC(=CC=C3)F,Unspecified,,,,10.5,IC50,=,10500,nM,
17,442057217,156017126,CCOCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3N4CCOCC4,Active,,,,5.3,IC50,=,5300,nM,
18,442057354,156017217,CCOCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC(=C3)C(=O)O,Unspecified,,,,7,IC50,>,7000,nM,
19,442059289,156018612,C1=CC=C(C(=C1)C(F)(F)F)NS(=O)(=O)C2=CC=CC(=C2)N3C=C(N=N3)COCCNC(=S)NC4=CC5=C(C=C4)C(=O)OC56C7=C(C=C(C=C7)O)OC8=C6C=CC(=C8)O,Unspecified,,,,28.2,IC50,=,28200,nM,
20,442059564,156018796,CCOCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3NS(=O)(=O)C,Active,,,,8.3,IC50,=,8300,nM,
21,442062738,122455347,CC(C)CCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC(=CC=C3)F,Active,,,,2.5,IC50,=,2500,nM,
