PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,404689485,71542927,COC1=CC(=CC(=C1)NC(C2=CC=CC=C2)C(=O)C3=CNC4=CC=CC=C43)OCCO,Unspecified,,,,21,CC50,=,21000,nM
2,504796811,172441103,COC1=CC(=CC(=C1)NC(C2=CC=C(C=C2)F)C(=O)C3=CNC4=C3C=CC(=C4)F)OCCO,Unspecified,,,,13,CC50,=,13000,nM
3,504796811,172441103,COC1=CC(=CC(=C1)NC(C2=CC=C(C=C2)F)C(=O)C3=CNC4=C3C=CC(=C4)F)OCCO,Unspecified,,,,13,CC50,=,13000,nM
4,504796811,172441103,COC1=CC(=CC(=C1)NC(C2=CC=C(C=C2)F)C(=O)C3=CNC4=C3C=CC(=C4)F)OCCO,Unspecified,,,,13,CC50,=,13000,nM
5,504803118,121254995,COC1=CC(=CC(=C1)NC(C2=C(C=C(C=C2)F)OC)C(=O)C3=CNC4=C3C=CC(=C4)F)OCCO,Active,,,,8.4,CC50,=,8400,nM
6,504804582,121254988,CC1=CC2=C(C=C1OC)NC=C2C(=O)C(C3=C(C=C(C=C3)F)OC)NC4=CC(=CC(=C4)OCCO)OC,Active,,,,7.4,CC50,=,7400,nM
7,504805030,172446787,COC1=CC(=CC(=C1)NC(C2=CC=C(C=C2)F)C(=O)C3=CNC4=C3C=C(C=C4)F)OCCO,Unspecified,,,,14,CC50,=,14000,nM
8,504805130,121254990,COC1=CC(=CC(=C1)NC(C2=C(C=C(C=C2)F)OC)C(=O)C3=CNC4=CC(=C(C=C43)F)F)OCCO,Active,,,,6.9,CC50,=,6900,nM
9,504810736,121260989,CC1=C(C=CC2=C1NC=C2C(=O)C(C3=C(C=C(C=C3)F)OC)NC4=CC(=CC(=C4)OCCO)OC)OC,Active,,,,8.9,CC50,=,8900,nM
10,504813306,121254993,CC1=C(C=CC2=C1NC=C2C(=O)C(C3=C(C=C(C=C3)F)OC)NC4=CC(=CC(=C4)OCCO)OC)F,Active,,,,5.3,CC50,=,5300,nM
11,504813859,121254989,CC1=CC2=C(C(=C1)F)NC=C2C(=O)C(C3=C(C=C(C=C3)F)OC)NC4=CC(=CC(=C4)OCCO)OC,Active,,,,5.5,CC50,=,5500,nM
12,504814257,121254986,COC1=CC(=CC(=C1)NC(C2=C(C=C(C=C2)F)OC)C(=O)C3=CNC4=CC(=C(C=C43)F)OC)OCCO,Unspecified,,,,8.6,CC50,>,8600,nM
13,504815920,121255002,CC1=C(C=CC2=C1NC=C2C(=O)C(C3=C(C=C(C=C3)F)OC)NC4=CC(=CC(=C4)OCCO)OC)Cl,Active,,,,4.1,CC50,=,4100,nM
14,504818560,121255003,COC1=CC(=CC(=C1)NC(C2=C(C=C(C=C2)F)OC)C(=O)C3=CNC4=C3C=CC(=C4)Cl)OCCO,Active,,,,5.9,CC50,=,5900,nM
15,504819012,172456514,COC1=CC(=CC(=C1)NC(C2=C(C=C(C=C2)F)OC(F)(F)F)C(=O)C3=CNC4=C3C=CC(=C4)F)OCCO,Active,,,,7.8,CC50,=,7800,nM
16,504828182,121254997,COC1=CC(=CC(=C1)NC(C2=C(C=C(C=C2)F)OC)C(=O)C3=CNC4=C3C=CC(=C4F)F)OCCO,Active,,,,6.6,CC50,=,6600,nM
17,504833428,121255000,COC1=C(C2=C(C=C1)C(=CN2)C(=O)C(C3=C(C=C(C=C3)F)OC)NC4=CC(=CC(=C4)OCCO)OC)Cl,Active,,,,8.6,CC50,=,8600,nM
18,504837034,172469081,COC1=CC(=CC(=C1)NC(C2=C(C=C(C=C2)F)F)C(=O)C3=CNC4=C3C=CC(=C4)F)OCCO,Unspecified,,,,13,CC50,=,13000,nM
19,504838056,172469795,COC1=CC(=CC(=C1)NC(C2=C(C=C(C=C2)F)OCCO)C(=O)C3=CNC4=C3C=CC(=C4)F)OCCO,Unspecified,,,,14,CC50,=,14000,nM
20,504838729,172470262,COC1=CC(=CC(=C1)NC(C2=C(C=C(C=C2)F)Cl)C(=O)C3=CNC4=C3C=CC(=C4)F)OCCO,Active,,,,8.2,CC50,=,8200,nM
