PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103177459,176870,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,Unspecified,,,,20,CC50,>,20000,nM
2,404652556,134817201,C[C@@H]1CN(C[C@@H](O1)C)C2=C3C(=NS2)C=C(C=N3)C4=CC(=C(C=C4)N)OC,Unspecified,,,,20,CC50,>,20000,nM
3,461516045,162644068,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)C4=CC(=CC=C4)NC(=O)N5CCOCC5)N,Unspecified,,,,20,CC50,>,20000,nM
4,461517623,162645177,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)C4=CC(=CC=C4)NC(=O)N5CCCC5)N,Unspecified,,,,20,CC50,>,20000,nM
5,461522759,162648820,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)N4CCC[C@@H](C4)CNC(=O)C5CC5)N,Unspecified,,,,20,CC50,>,20000,nM
6,461528735,162652973,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)N4CCCC(C4)CNC(=O)C5=CC=CC=C5)N,Unspecified,,,,20,CC50,>,20000,nM
7,461530628,162654322,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)N4CCCC(C4)CNC(=O)C5CCCC5)N,Unspecified,,,,20,CC50,>,20000,nM
8,461538517,162659892,CC(C)C(=O)NC1=CC=CC(=C1)C2=C3C(=NS2)C=C(C=N3)C4=CC(=C(C=C4)N)OC,Unspecified,,,,14,CC50,=,14000,nM
9,461541319,162661823,CCC(=O)NC1=CC=CC(=C1)C2=C3C(=NS2)C=C(C=N3)C4=CC(=C(C=C4)N)OC,Active,,,,9.9,CC50,=,9900,nM
10,461543961,162663655,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)C4=CC(=CC=C4)NC(=O)C5CCCC5)N,Unspecified,,,,13,CC50,=,13000,nM
11,461548243,162666662,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)N4CCCC(C4)CNC(=O)N5CCCC5)N,Unspecified,,,,20,CC50,>,20000,nM
12,461557440,162673180,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)C4=CC(=CC=C4)NC(=O)C5CC5)N,Unspecified,,,,15,CC50,=,15000,nM
13,461562945,162677047,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)N4CCCC(C4)CNC(=O)C5CC5)N,Unspecified,,,,20,CC50,>,20000,nM
