PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,160703999,14982,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O,Active,,,,8.1,IC50,=,8100,nM,
2,160703999,14982,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O,Unspecified,,,Potential missing data,,Inhibition,,,,Dose-dependent effect
3,440111176,155511455,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)N[C@@H](CC7=CC=CC=C7)C(=O)O)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)C(=O)N[C@@H](CC9=CC=CC=C9)C(=O)O)O)O)O)C)(C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
4,440119420,155516935,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)N/N=C/C7=CC=NC=C7)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)C(=O)N/N=C/C9=CC=NC=C9)O)O)O)C)(C)C(=O)OC,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
5,440120001,155517322,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)N[C@H](CC7=CC=CC=C7)C(=O)OC)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)C(=O)N[C@H](CC9=CC=CC=C9)C(=O)OC)O)O)O)C)(C)C(=O)N[C@H](CC1=CC=CC=C1)C(=O)OC,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
6,440127689,155522250,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)N[C@@H](CC7=CC=C(C=C7)O)C(=O)O)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)C(=O)N[C@@H](CC9=CC=C(C=C9)O)C(=O)O)O)O)O)C)(C)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)O,Active,,,,2.2,IC50,=,2200,nM,
7,440127689,155522250,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)N[C@@H](CC7=CC=C(C=C7)O)C(=O)O)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)C(=O)N[C@@H](CC9=CC=C(C=C9)O)C(=O)O)O)O)O)C)(C)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)O,Unspecified,,,Potential missing data,,Inhibition,,,,Dose-dependent effect
8,440139334,3071571,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)N[C@@H](CC7=CC=CC=C7)C(=O)OC)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)C(=O)N[C@@H](CC9=CC=CC=C9)C(=O)OC)O)O)O)C)(C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
9,440143871,155532832,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)N/N=C/C7=CC=C(C=C7)N(C)C)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)C(=O)N/N=C/C9=CC=C(C=C9)N(C)C)O)O)O)C)(C)C(=O)OC,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
10,440146892,3074465,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)N[C@@H](CCC(=O)OC)C(=O)OC)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)N[C@@H](CCC(=O)OC)C(=O)OC)O)O)O)C)(C)C(=O)N[C@@H](CCC(=O)OC)C(=O)OC,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
