PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103331178,127748,COC(=O)C1=C2C(=CC=C1)OC(=N2)C3=C4C(=CC=C3)OC(=N4)C5=CC=CC=C5O,Unspecified,,,,700,IC50,>,700000,nM,Outside typical range
2,103576272,136152992,CNC(=O)C1=C2C(=CC=C1)OC(=N2)C3=CC=CC=C3O,Unspecified,,,,700,IC50,>,700000,nM,Outside typical range
3,103576319,135410270,COC(=O)C1=C2C(=CC=C1)OC(=N2)C3=CC=CC=C3O,Unspecified,,,,700,IC50,>,700000,nM,Outside typical range
4,194145906,136224199,COC(=O)C1=C2C(=CC=C1)OC(=N2)C3=C(C4=CC=CC=C4C=C3)O,Unspecified,,,,700,IC50,>,700000,nM,Outside typical range
5,194159688,135957253,C1=CC=C(C(=C1)C2=NC3=C(C=CC=C3O2)C(=O)O)O,Unspecified,,,,700,IC50,>,700000,nM,Outside typical range
6,194159689,136240280,COC(=O)C1=C2C(=CC=C1)OC(=N2)C3=C(C4=C(C=CC(=C4)OCC5=CC=CC=C5)C=C3)O,Unspecified,,,,700,IC50,>,700000,nM,Outside typical range
7,194187195,136241626,COC(=O)C1=C2C(=CC=C1)OC(=N2)C3=C(C4=C(C=C3)C(=CC=C4)OCC5=CC=CC=C5)O,Unspecified,,,,700,IC50,>,700000,nM,Outside typical range
