PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,440127409,155522070,CN1CCN(CC1)C2=NC=CC(=N2)NC3=CC=C(C=C3)C4=CC=CC=C4,Unspecified,,,,464.57,LC50,>,464570,nM
2,440127409,155522070,CN1CCN(CC1)C2=NC=CC(=N2)NC3=CC=C(C=C3)C4=CC=CC=C4,Unspecified,,,,464.57,LC90,>,464.57,uM
3,440150289,155537019,C1CN(CCN1CCO)C2=NC=CC(=N2)NC3=CC=C(C=C3)C4=CC=CC=C4,Unspecified,,,,19.91,LC50,=,19910,nM
4,440150289,155537019,C1CN(CCN1CCO)C2=NC=CC(=N2)NC3=CC=C(C=C3)C4=CC=CC=C4,Unspecified,,,,30.13,LC90,=,30.13,uM
5,440152153,155538264,C1=CC=C(C=C1)C2=CC=C(C=C2)NC3=NC(=NC=C3)NCC4=C[N+](=CC=C4)[O-],Active,,,,5.88,LC50,=,5880,nM
6,440152153,155538264,C1=CC=C(C=C1)C2=CC=C(C=C2)NC3=NC(=NC=C3)NCC4=C[N+](=CC=C4)[O-],Active,,,,9.5,LC90,=,9.5,uM
7,440195525,155555873,C1=CC=C(C=C1)C2=CC=C(C=C2)NC3=NC(=NC=C3)NCC4=CN=CC=C4,Active,,,,9.49,LC50,=,9490,nM
8,440195525,155555873,C1=CC=C(C=C1)C2=CC=C(C=C2)NC3=NC(=NC=C3)NCC4=CN=CC=C4,Unspecified,,,,15.76,LC90,=,15.76,uM
9,482066731,3702610,CC1=C(NC2=C1C=CC=C2C(=O)O)C,Unspecified,,,,853.6,LC50,>,853600,nM
10,482066731,3702610,CC1=C(NC2=C1C=CC=C2C(=O)O)C,Unspecified,,,,528.51,LC90,>,528.51,uM
11,482073079,12793097,CC1=C(NC2=C1C=C(C=C2)Br)C,Unspecified,,,,10.64,LC50,=,10640,nM
12,482073079,12793097,CC1=C(NC2=C1C=C(C=C2)Br)C,Unspecified,,,,14.74,LC90,=,14.74,uM
