PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103474965,44405920,B(C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCC)NC(=O)C1=CC=CC=C1)(O)O,Active,,,,0.043,Ki,=,43,nM,
2,103474978,44405936,CCCC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)NC(=O)C1=CC=CC=C1,Unspecified,,,,500,Ki,>,500000,nM,Outside typical range
3,103474979,6420188,CCCC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)NC(=O)C1=CC=CC=C1,Unspecified,,,,500,Ki,>,500000,nM,Outside typical range
4,103474980,44405937,CCCC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)C(F)(F)F)NC(=O)C1=CC=CC=C1,Active,,,,0.85,Ki,=,850,nM,
5,103475013,44405957,CCCC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(C(=O)NCC1=CC=CC=C1)O)NC(=O)C2=CC=CC=C2,Unspecified,,,,178,Ki,=,178000,nM,Outside typical range
6,103475162,44406028,CCCC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N)NC(=O)C1=CC=CC=C1,Unspecified,,,,127.5,Ki,=,127500,nM,Outside typical range
7,103475163,44406029,CCCC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)NS(=O)(=O)C(F)(F)F)NC(=O)C1=CC=CC=C1,Unspecified,,,,500,Ki,>,500000,nM,Outside typical range
8,103475201,44406046,CCCC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCN=C(N)N)C=O)NC(=O)C1=CC=CC=C1,Unspecified,,,,500,Ki,>,500000,nM,Outside typical range
9,103475252,44406068,CCCC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N)NC(=O)C1=CC=CC=C1,Unspecified,,,,500,Ki,>,500000,nM,Outside typical range
10,103570956,44453186,CCCC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)C1=NC=CS1)NC(=O)C2=CC=CC=C2,Unspecified,,,,42.8,Ki,=,42800,nM,
11,103571003,44453217,CCCC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)C1=NC2=CC=CC=C2O1)NC(=O)C3=CC=CC=C3,Unspecified,,,,82.9,Ki,=,82900,nM,
12,103571548,6857723,CCCC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C=O)NC(=O)C1=CC=CC=C1,Active,,,,5.8,Ki,=,5800,nM,
