PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103175813,5329102,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,Unspecified,,,,246,CC50,=,246000,nM,
2,103645206,44588117,C1=CC(=CN=C1)C(=O)NC2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)C#N,Unspecified,,,,50,CC50,>,50000,nM,
3,194166597,59699998,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C4=CC=CC=C4)N=C2)OC,Unspecified,,,,990,CC50,=,990000,nM,
4,312358421,118714184,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4CCCCC4)N=C2)OC,Unspecified,,,,14.7,CC50,=,14700,nM,
5,440114579,138393295,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C#CC4=CN=CC=C4)N=C2)OC,Unspecified,,,,17,CC50,=,17000,nM,
6,440118346,155516193,COC1=C(C=C(C=C1)C2=CN=C3C(=N2)C(=CN3)C#CC4=CN=CC=C4)OC,Active,,,,4.81,CC50,=,4810,nM,
7,440119019,155516654,COC1=CC=C(C=C1)C(=O)NC2=CNC3=C2C=C(C=N3)C4=CC(=C(C=C4)OC)OC,Unspecified,,,,23.6,CC50,=,23600,nM,
8,440119848,155517221,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CC=CC=C4)N=C2)OC,Unspecified,,,,17.3,CC50,=,17300,nM,
9,440123901,155519881,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C#CC4=CC(=CC=C4)C#N)N=C2)OC,Unspecified,,,Potential missing data,,CC50,,,,Non-Toxic
10,440124290,155520094,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CC=C(C=C4)F)N=C2)OC,Unspecified,,,,15.9,CC50,=,15900,nM,
11,440125739,155520971,CC1=CC=C(C=C1)C#CC2=CNC3=C2C=C(C=N3)C4=CC(=C(C=C4)OC)OC,Unspecified,,,Potential missing data,,CC50,,,,Non-Toxic
12,440125895,10154537,COC1=CC=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CN=CC=C4)N=C2,Unspecified,,,Potential missing data,,CC50,,,,Non-Toxic
13,440129550,155523429,C1=CC(=CN=C1)C(=O)NC2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)F,Unspecified,,,Potential missing data,,CC50,,,,Non-Toxic
14,440130088,155523797,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C#CC4=CC(=CC=C4)OC)N=C2)OC,Unspecified,,,,19.6,CC50,=,19600,nM,
15,440131412,9858254,C1=CC(=CN=C1)C(=O)NC2=CNC3=C2C=C(C=N3)C4=CSC=C4,Unspecified,,,Potential missing data,,CC50,,,,Non-Toxic
16,440131448,155524697,CC1=CC=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CN=CC=C4)N=C2,Unspecified,,,,100,CC50,>,100000,nM,
17,440137473,57891796,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C#CC4=CC=CC=C4)N=C2)OC,Unspecified,,,,20.1,CC50,=,20100,nM,
18,440144626,155533332,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C#CC4=CC=C(C=C4)F)N=C2)OC,Unspecified,,,,19.9,CC50,=,19900,nM,
19,440146878,155534845,CN1C=C(C2=C1N=CC(=C2)C3=CC(=C(C=C3)OC)OC)NC(=O)C4=CN=CC=C4,Unspecified,,,Potential missing data,,CC50,,,,Non-Toxic
20,440149931,155536780,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C(=O)C4=CC=CC=C4)N=C2)OC,Unspecified,,,,35.3,CC50,=,35300,nM,
21,440151563,155537883,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4CCCC4)N=C2)OC,Unspecified,,,,15.2,CC50,=,15200,nM,
22,440152493,155538489,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NS(=O)(=O)C4=CC=CC=C4)N=C2)OC,Unspecified,,,Potential missing data,,CC50,,,,Non-Toxic
23,440156050,155540035,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CC=NC=C4)N=C2)OC,Unspecified,,,Potential missing data,,CC50,,,,Non-Toxic
24,440157404,155540633,CC1=CC(=CC=C1)C2=CC3=C(NC=C3NC(=O)C4=CN=CC=C4)N=C2,Unspecified,,,,16,CC50,=,16000,nM,
25,440163921,155543338,C1=CC(=CN=C1)C(=O)NC2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)C(F)(F)F,Unspecified,,,,57,CC50,=,57000,nM,
26,440168090,155544989,COC1=C(C=C(C=C1)C2=CC3=C(NN=C3N=C2)NC(=O)C4=CN=CC=C4)OC,Unspecified,,,,16,CC50,=,16000,nM,
27,440184108,10156251,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CN=CC=C4)N=C2)OC,Unspecified,,,,39.7,CC50,=,39700,nM,
28,440196007,155556093,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)CC4=CC=CC=C4)N=C2)OC,Unspecified,,,Potential missing data,,CC50,,,,Non-Toxic
29,440225571,9858007,C1=CC=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CN=CC=C4)N=C2,Unspecified,,,Potential missing data,,CC50,,,,Non-Toxic
