PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103261008,153241,COC1=C(C=CC(=C1)NC(=O)NC2=CC=CC(=C2)CNC(=O)O[C@H]3CCOC3)C4=CN=CO4,Active,,,,8,IC50,=,8000,nM,
2,103279132,54445,C1CN2C[C@@H]([C@H]([C@@H]([C@H]2[C@H]1O)O)O)O,Active,,,,1,IC50,=,1000,nM,
3,103619997,37542,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,Unspecified,,,,,EC50,=,49,ug.mL-1,
4,103698838,6070438,C1=CC(=CC=C1/C=C/C(=O)O)OS(=O)(=O)O,Unspecified,,,,2000,IC50,=,2e+06,nM,Outside typical range
5,103699044,45483621,CCN(CCCN(CC)C(=O)C1=CC=C(C=C1)O)C(=O)C2=CC=C(C=C2)O,Unspecified,,,,2000,IC50,=,2e+06,nM,Outside typical range
6,103699059,44219274,CN(CCCNC(=O)C1=CC=C(C=C1)O)CCCNC(=O)C2=CC=C(C=C2)O,Unspecified,,,,2000,IC50,=,2e+06,nM,Outside typical range
7,103699078,44219120,CN(CCCNC(=O)C1=CC=C(C=C1)O)CCCNC(=O)C2=CC3=C(C=C2)C=C(C=C3)O,Unspecified,,,,294,IC50,=,294000,nM,Outside typical range
8,103699098,25007322,CCN(CCOC(=O)/C=C/C1=CC=C(C=C1)O)CC2=C(C=CC(=C2)Cl)O,Unspecified,,,,46,IC50,=,46000,nM,
