PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103567492,501640,CCCCCCCCCN1C[C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O,Active,,,,1.1,EC50,=,1100,nM
2,163313686,60170250,C1[C@@H]([C@H]([C@@H]([C@H](N1CCCCCCOC2=CC=CC=C2F)CO)O)O)O,Active,,,,2.8,EC50,=,2800,nM
3,163313687,60168115,C1[C@@H]([C@H]([C@@H]([C@H](N1CCCCCCOC2=C(C=CC(=C2)F)F)CO)O)O)O,Active,,,,0.5,EC50,=,500,nM
4,163313688,60170253,C1[C@@H]([C@H]([C@@H]([C@H](N1CCCCCCOC2=C(C(=C(C(=C2F)F)F)F)F)CO)O)O)O,Active,,,,1,EC50,=,1000,nM
5,163313689,60170074,CCC1CCCCC1OCCCCCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,1.5,EC50,=,1500,nM
6,163313690,60170077,CCCCC1CCC(CC1)OCCCCCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,1.8,EC50,=,1800,nM
7,163313997,60170163,CC1=CC(=CC=C1)OCCCCCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,0.6,EC50,=,600,nM
8,163313998,60170249,C1[C@@H]([C@H]([C@@H]([C@H](N1CCCCCCOC2=C(C=CC(=C2)Cl)Cl)CO)O)O)O,Active,,,,1.5,EC50,=,1500,nM
9,163317110,60170339,C1[C@@H]([C@H]([C@@H]([C@H](N1CCCCCCOC2=CC=CC(=C2)C(F)(F)F)CO)O)O)O,Active,,,,1.5,EC50,=,1500,nM
10,163317111,51031020,CCC(CC)(CCCCCCN1C[C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O)O,Active,,,,3,EC50,=,3000,nM
11,163317112,60169979,CC(C)C(C(C)C)OCCCCCCN1C[C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O,Active,,,,7.5,EC50,=,7500,nM
12,163317424,60170344,C1[C@@H]([C@H]([C@@H]([C@H](N1CCCCCCOC2=CN=CC=C2)CO)O)O)O,Active,,,,2.5,EC50,=,2500,nM
13,163317425,60170433,C1CCC(CC1)OC2=CC=C(C=C2)CCCN3C[C@@H]([C@H]([C@@H]([C@H]3CO)O)O)O,Active,,,,5.5,EC50,=,5500,nM
14,163317426,60170079,CC1CC(CC(C1)(C)C)OCCCCCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,0.8,EC50,=,800,nM
15,163317427,60170247,CC1=CC(=C(C=C1)C(C)C)OCCCCCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,0.6,EC50,=,600,nM
16,163320587,60170251,C1[C@@H]([C@H]([C@@H]([C@H](N1CCCCCCOC2=CC=C(C=C2)F)CO)O)O)O,Active,,,,0.3,EC50,=,300,nM
17,163320588,60170338,C1[C@@H]([C@H]([C@@H]([C@H](N1CCCCCCOC2=CC=CC=C2C(F)(F)F)CO)O)O)O,Active,,,,1,EC50,=,1000,nM
18,163320898,60170161,C1[C@@H]([C@H]([C@@H]([C@H](N1CCCCCCOC2=CC=CC=C2)CO)O)O)O,Active,,,,0.9,EC50,=,900,nM
19,163323965,60168110,C1[C@@H]([C@H]([C@@H]([C@H](N1CCCCCCOC2=CC(=CC=C2)F)CO)O)O)O,Active,,,,0.5,EC50,=,500,nM
20,163323966,60170252,C1[C@@H]([C@H]([C@@H]([C@H](N1CCCCCCOC2=C(C=C(C=C2F)F)F)CO)O)O)O,Active,,,,5,EC50,=,5000,nM
21,163323967,60170340,C1[C@@H]([C@H]([C@@H]([C@H](N1CCCCCCOC2=CC=C(C=C2)C(F)(F)F)CO)O)O)O,Active,,,,1.1,EC50,=,1100,nM
22,163323968,60169981,C1CCC(CC1)OCCCCCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,0.4,EC50,=,400,nM
23,163323969,60170076,CCCC1CCCCC1OCCCCCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,0.5,EC50,=,500,nM
24,163324264,60170431,C1CCC(CC1)OC2=CC=CC=C2CCCN3C[C@@H]([C@H]([C@@H]([C@H]3CO)O)O)O,Unspecified,,,,24,EC50,=,24000,nM
25,163324265,60170435,CCCCCC#CCCN1C[C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O,Unspecified,,,,100,EC50,>,100000,nM
26,163324266,60170078,CC1CCCC(C1C)OCCCCCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,1.2,EC50,=,1200,nM
27,163324267,60170164,CC1=CC(=CC=C1)OCCCCCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O.Cl,Active,,,,0.4,EC50,=,400,nM
28,163327422,60169980,CCCC(CCC)OCCCCCCN1C[C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O,Active,,,,0.6,EC50,=,600,nM
29,163327423,60170073,CC1CCCC(C1)OCCCCCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,0.3,EC50,=,300,nM
30,163327739,60170429,CCCOC1=CC=CC=C1CCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,0.8,EC50,=,800,nM
31,163327740,60170513,C1[C@@H]([C@H]([C@@H]([C@H](N1CC/C=C\CCOC2=C(C=CC(=C2)F)F)CO)O)O)O,Active,,,,2,EC50,=,2000,nM
32,163327741,60170159,C1CCC(CC1)C2CCCCC2OCCCCCCN3C[C@@H]([C@H]([C@@H]([C@H]3CO)O)O)O,Active,,,,0.5,EC50,=,500,nM
33,163330912,60170075,CCC1CCC(CC1)OCCCCCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,0.4,EC50,=,400,nM
34,163331260,60170343,COC1=CC=C(C=C1)OCCCCCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,1,EC50,=,1000,nM
35,163331261,60168109,C1CCCC(CC1)OCCCCCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,1.4,EC50,=,1400,nM
36,163331262,60170165,CC1=C(C=C(C=C1)C(C)C)OCCCCCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,0.7,EC50,=,700,nM
37,163334409,60169978,CCC(CC)OCCCCCCN1C[C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O,Active,,,,3,EC50,=,3000,nM
38,163334728,60170342,COC1=CC=CC=C1OCCCCCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,1,EC50,=,1000,nM
39,163334729,60168116,C1[C@@H]([C@H]([C@@H]([C@H](N1CCCCCCOCC2=CC=CC=C2)CO)O)O)O,Active,,,,1.5,EC50,=,1500,nM
40,163334730,60168117,CCCOC1=CC=CC(=C1)CCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,1.2,EC50,=,1200,nM
41,163334731,60170430,CCCOC1=CC=C(C=C1)CCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,0.2,EC50,=,200,nM
42,163334732,60170432,C1CCC(CC1)OC2=CC=CC(=C2)CCCN3C[C@@H]([C@H]([C@@H]([C@H]3CO)O)O)O,Active,,,,3.5,EC50,=,3500,nM
43,163334733,60168108,CC1CCC(CC1C)OCCCCCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,3.5,EC50,=,3500,nM
44,163334734,60170162,CC1=CC=CC=C1OCCCCCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,0.4,EC50,=,400,nM
45,163338141,60170341,C1[C@@H]([C@H]([C@@H]([C@H](N1CCCCCCOC2=CC=C(C=C2)OC(F)(F)F)CO)O)O)O,Active,,,,1.3,EC50,=,1300,nM
46,163338142,60170434,CC/C=C\CCCCCN1C[C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O,Unspecified,,,,11,EC50,=,11000,nM
47,163338143,60170514,C1[C@@H]([C@H]([C@@H]([C@H](N1CC/C=C/CCOC2=C(C=CC(=C2)F)F)CO)O)O)O,Active,,,,0.9,EC50,=,900,nM
48,163338144,60170515,C1[C@@H]([C@H]([C@@H]([C@H](N1CCC#CCCOC2=C(C=CC(=C2)F)F)CO)O)O)O,Unspecified,,,,47,EC50,=,47000,nM
49,163338145,60170160,C1CCC(C1)OCCCCCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,0.3,EC50,=,300,nM
50,163338146,60170248,CC1=CC(=C(C=C1)C(C)(C)C)OCCCCCCN2C[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O,Active,,,,0.6,EC50,=,600,nM
