PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Text Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Standardized version of non-numeric measurement,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
135,520073078,177662783,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NNC4=CC(=C3)Br,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
136,520073078,177662783,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NNC4=CC(=C3)Br,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
137,520073081,177662786,C1C[C@@H](OC1)CNC(=O)[C@@H](C2=CC(=CC(=C2)C3CC3)Cl)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
138,520073081,177662786,C1C[C@@H](OC1)CNC(=O)[C@@H](C2=CC(=CC(=C2)C3CC3)Cl)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
139,520073090,177662795,C1C2=C(C=C(C=C2NC1=O)Br)C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
140,520073090,177662795,C1C2=C(C=C(C=C2NC1=O)Br)C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
141,520073839,177662901,C1CNCCC1C2=CC(=CC=C2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Active,,,,3.244,EC50,=,3244,,nM,
142,520073839,177662901,C1CNCCC1C2=CC(=CC=C2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,3.333,EC90,>,3.333,,uM,Falls Outside The Dose Series
143,520073839,177662901,C1CNCCC1C2=CC(=CC=C2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,1.852,EC50,>,1852,,nM,Falls Outside The Dose Series
144,520073839,177662901,C1CNCCC1C2=CC(=CC=C2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,1.852,EC90,>,1.852,,uM,Falls Outside The Dose Series
145,520073887,177662946,C[C@H](C1=CC(=CC=C1)NC(=O)[C@H]2[C@H]3CCCCC[C@H]3[C@H]2NC(=O)OCC4=CC=CC=C4)N,Unspecified,,,,5.556,EC50,>,5556,,nM,Falls Outside The Dose Series
146,520073887,177662946,C[C@H](C1=CC(=CC=C1)NC(=O)[C@H]2[C@H]3CCCCC[C@H]3[C@H]2NC(=O)OCC4=CC=CC=C4)N,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
147,520073905,177662963,C1CN(CCC1C2=NC3=CC=CC=C3S2)CC4=CNC5=CC=CC=C54,Active,,,,2.194,EC50,=,2194,,nM,
148,520073905,177662963,C1CN(CCC1C2=NC3=CC=CC=C3S2)CC4=CNC5=CC=CC=C54,Active,,,,9.854,EC50,=,9854,,nM,
149,520073905,177662963,C1CN(CCC1C2=NC3=CC=CC=C3S2)CC4=CNC5=CC=CC=C54,Unspecified,,,,16.58,EC90,=,16.58,,uM,
150,520073905,177662963,C1CN(CCC1C2=NC3=CC=CC=C3S2)CC4=CNC5=CC=CC=C54,Unspecified,,,,16.07,EC90,=,16.07,,uM,
151,520073914,177662972,CC[C@H](CC1=NNN=N1)C2=CC=C(C=C2)N[C@@H](C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4)C(=O)NC,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
152,520073914,177662972,CC[C@H](CC1=NNN=N1)C2=CC=C(C=C2)N[C@@H](C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4)C(=O)NC,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
153,520073943,172872934,COC1=CC(=CC(=C1)N[C@H](C2=CC=C(C=C2)Cl)C(=O)N3CCC4=C3C=C(C=C4)OC(F)(F)F)OCCCC(=O)O,Active,,,,0.005,EC50,<,5,,nM,Falls Outside The Dose Series
154,520073943,172872934,COC1=CC(=CC(=C1)N[C@H](C2=CC=C(C=C2)Cl)C(=O)N3CCC4=C3C=C(C=C4)OC(F)(F)F)OCCCC(=O)O,Active,,,,0.005,EC90,<,0.005,,uM,Falls Outside The Dose Series
155,520073943,172872934,COC1=CC(=CC(=C1)N[C@H](C2=CC=C(C=C2)Cl)C(=O)N3CCC4=C3C=C(C=C4)OC(F)(F)F)OCCCC(=O)O,Active,,,,0.005,EC50,<,5,,nM,Falls Outside The Dose Series
156,520073943,172872934,COC1=CC(=CC(=C1)N[C@H](C2=CC=C(C=C2)Cl)C(=O)N3CCC4=C3C=C(C=C4)OC(F)(F)F)OCCCC(=O)O,Active,,,,0.005,EC90,<,0.005,,uM,Falls Outside The Dose Series
157,520073943,172872934,COC1=CC(=CC(=C1)N[C@H](C2=CC=C(C=C2)Cl)C(=O)N3CCC4=C3C=C(C=C4)OC(F)(F)F)OCCCC(=O)O,Active,,,,0.023,EC50,<,23,,nM,Falls Outside The Dose Series
158,520073943,172872934,COC1=CC(=CC(=C1)N[C@H](C2=CC=C(C=C2)Cl)C(=O)N3CCC4=C3C=C(C=C4)OC(F)(F)F)OCCCC(=O)O,Active,,,,0.023,EC90,<,0.023,,uM,Falls Outside The Dose Series
159,520073944,177662999,CC(=O)NC1=CC(=CC(=C1)C(=O)NC2=CC=CC(=C2)CN)Cl,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
160,520073944,177662999,CC(=O)NC1=CC(=CC(=C1)C(=O)NC2=CC=CC(=C2)CN)Cl,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
161,520073948,177663003,COCCNC(=O)[C@@H](C1=CC(=CC(=C1)C2CC2)Cl)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,,EC50,,,Could not be calculated,,
162,520073948,177663003,COCCNC(=O)[C@@H](C1=CC(=CC(=C1)C2CC2)Cl)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,,EC90,,,Could not be calculated,,
163,520073949,172991038,C1CC1C2=CC(=CC(=C2)Cl)[C@H](C(=O)NCC(F)F)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
164,520073949,172991038,C1CC1C2=CC(=CC(=C2)Cl)[C@H](C(=O)NCC(F)F)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
165,520073955,177663009,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C(C(=CC(=C3)Cl)N)N,Unspecified,,,,41.915,EC50,=,41915,,nM,
166,520073955,177663009,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C(C(=CC(=C3)Cl)N)N,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
167,520073960,177663014,C1CC1C2=CC(=CC(=C2)Cl)[C@H](C(=O)NCCC#N)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
168,520073960,177663014,C1CC1C2=CC(=CC(=C2)Cl)[C@H](C(=O)NCCC#N)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
169,520073965,177663019,C1C2=C(CN1)N=C(C=C2)NC(=O)C3=C4C=NNC4=CC(=C3)Cl,Unspecified,,,,33.173,EC50,=,33173,,nM,
170,520073965,177663019,C1C2=C(CN1)N=C(C=C2)NC(=O)C3=C4C=NNC4=CC(=C3)Cl,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
171,520073970,177663024,COC(=O)CNC(=O)[C@@H](C1=CC(=CC(=C1)C2CC2)Cl)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
172,520073970,177663024,COC(=O)CNC(=O)[C@@H](C1=CC(=CC(=C1)C2CC2)Cl)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
173,520074725,177663209,CC(C)OC(=O)NC1=CC(=CC(=C1)C(=O)NC2=CC=CC(=C2)CN)Cl,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
174,520074725,177663209,CC(C)OC(=O)NC1=CC(=CC(=C1)C(=O)NC2=CC=CC(=C2)CN)Cl,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
175,520074747,177663231,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC=CC(=C3)C4=NNN=N4)Cl,Unspecified,,,,48.89,EC50,=,48890,,nM,
176,520074747,177663231,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC=CC(=C3)C4=NNN=N4)Cl,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
177,520074766,177663250,C1CC(=O)N(C1)C2=CC(=CC(=C2)C(=O)NC3=CC=CC(=C3)CN)Cl,Unspecified,,,,10,EC50,>,10000,,nM,Falls Outside The Dose Series
178,520074766,177663250,C1CC(=O)N(C1)C2=CC(=CC(=C2)C(=O)NC3=CC=CC(=C3)CN)Cl,Unspecified,,,,10,EC90,>,10,,uM,Falls Outside The Dose Series
179,520074766,177663250,C1CC(=O)N(C1)C2=CC(=CC(=C2)C(=O)NC3=CC=CC(=C3)CN)Cl,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
180,520074766,177663250,C1CC(=O)N(C1)C2=CC(=CC(=C2)C(=O)NC3=CC=CC(=C3)CN)Cl,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
181,520074780,177663262,C1C[C@@H](OC1)CNC(=O)[C@@H](C2=C3C=NNC3=CC(=C2)Cl)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
182,520074780,177663262,C1C[C@@H](OC1)CNC(=O)[C@@H](C2=C3C=NNC3=CC(=C2)Cl)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
183,520074784,177663266,CC(C)CC1=NC2=C(C=C(C=C2N1)Br)C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,5.556,EC50,>,5556,,nM,Falls Outside The Dose Series
184,520074784,177663266,CC(C)CC1=NC2=C(C=C(C=C2N1)Br)C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
185,520074787,177663269,CC1=CC(=C2C=NNC2=C1)C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
186,520074787,177663269,CC1=CC(=C2C=NNC2=C1)C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
187,520074795,177663277,CNC(=O)[C@@H](C1=CC(=CC(=C1)C2CC2)Cl)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
188,520074795,177663277,CNC(=O)[C@@H](C1=CC(=CC(=C1)C2CC2)Cl)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
189,520074799,177663281,C1COCCC1C2=NC3=C(C=C(C=C3N2)Br)C(=O)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,5.556,EC50,>,5556,,nM,Falls Outside The Dose Series
190,520074799,177663281,C1COCCC1C2=NC3=C(C=C(C=C3N2)Br)C(=O)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
191,520074804,177663286,CC1=C(C=C(C=C1)NC(=O)C2=C3C=NNC3=CC(=C2)Cl)CN,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
192,520074804,177663286,CC1=C(C=C(C=C1)NC(=O)C2=C3C=NNC3=CC(=C2)Cl)CN,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
193,520074806,177663288,CC(=O)NC1=CC(=CC(=C1)C(=O)NC2=CC3=C(CNC3)C=C2)Br,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
194,520074806,177663288,CC(=O)NC1=CC(=CC(=C1)C(=O)NC2=CC3=C(CNC3)C=C2)Br,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
195,520074840,177663321,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)N[C@H](C#CCO)C3=CC=C(C=C3)C4=NNN=N4)Cl,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
196,520074840,177663321,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)N[C@H](C#CCO)C3=CC=C(C=C3)C4=NNN=N4)Cl,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
197,520075473,177663483,C1=CC=C(C(=C1)OC2=CC=C(C=C2)S(=O)(=O)NC3=CC(=C(C=C3C(=O)O)OC4=CC=C(C=C4)F)F)Cl,Unspecified,,,,,EC50,,,Could not be calculated,,
198,520075473,177663483,C1=CC=C(C(=C1)OC2=CC=C(C=C2)S(=O)(=O)NC3=CC(=C(C=C3C(=O)O)OC4=CC=C(C=C4)F)F)Cl,Unspecified,,,,,EC90,,,Could not be calculated,,
199,520075473,177663483,C1=CC=C(C(=C1)OC2=CC=C(C=C2)S(=O)(=O)NC3=CC(=C(C=C3C(=O)O)OC4=CC=C(C=C4)F)F)Cl,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
200,520075473,177663483,C1=CC=C(C(=C1)OC2=CC=C(C=C2)S(=O)(=O)NC3=CC(=C(C=C3C(=O)O)OC4=CC=C(C=C4)F)F)Cl,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
201,520075479,177663489,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC=C(C=C3)CCC(=O)O)Cl,Unspecified,,,,23.365,EC50,=,23365,,nM,
202,520075479,177663489,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC=C(C=C3)CCC(=O)O)Cl,Unspecified,,,,44.43,EC90,=,44.43,,uM,
203,520075519,177663529,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)Cl)N4C=CC=C4,Unspecified,,,,15.137,EC50,=,15137,,nM,
204,520075519,177663529,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)Cl)N4C=CC=C4,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
205,520075520,177663530,C1=CC(=CC=C1CC2=CNC3=C2C=C(C=C3)Cl)C4=NNN=N4,Unspecified,,,,24.567,EC50,=,24567,,nM,
206,520075520,177663530,C1=CC(=CC=C1CC2=CNC3=C2C=C(C=C3)Cl)C4=NNN=N4,Unspecified,,,,34.03,EC90,=,34.03,,uM,
207,520075533,177663543,CC(C)C1=NC2=C(C=C(C=C2N1)Br)C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
208,520075533,177663543,CC(C)C1=NC2=C(C=C(C=C2N1)Br)C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
209,520076329,177663817,C1CCC(C1)SC2=C(C=C(C=C2)Cl)C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
210,520076329,177663817,C1CCC(C1)SC2=C(C=C(C=C2)Cl)C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
211,520076341,177663829,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NNC4=CC=C3,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
212,520076341,177663829,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NNC4=CC=C3,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
213,520076348,177663835,CCC1=NC2=C(C=C(C=C2N1)Br)C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,,EC50,,,Could not be calculated,,
214,520076348,177663835,CCC1=NC2=C(C=C(C=C2N1)Br)C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,,EC90,,,Could not be calculated,,
215,520077129,177664043,CCOC1=CC=CC(=C1)C2=CC=C(C=C2)S(=O)(=O)NC3=C(C=C4CCCC4=C3)C(=O)O,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
216,520077129,177664043,CCOC1=CC=CC(=C1)C2=CC=C(C=C2)S(=O)(=O)NC3=C(C=C4CCCC4=C3)C(=O)O,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
217,520077165,177664079,C=CC[C@@H](C1=CC=CC(=C1)C2=NNN=N2)NC3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Active,,,,0.449,EC50,=,449,,nM,
218,520077165,177664079,C=CC[C@@H](C1=CC=CC(=C1)C2=NNN=N2)NC3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Active,,,,4.917,EC90,=,4.917,,uM,
219,520077190,177664104,CNC(=O)[C@@H](C1=CC=CC(=C1)C2=NNN=N2)NC3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
220,520077190,177664104,CNC(=O)[C@@H](C1=CC=CC(=C1)C2=NNN=N2)NC3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
221,520077216,172991068,C1COCCC1CNC(=O)[C@@H](C2=C3C=NNC3=CC(=C2)Cl)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
222,520077216,172991068,C1COCCC1CNC(=O)[C@@H](C2=C3C=NNC3=CC(=C2)Cl)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
223,520078106,177664291,C1=CC=C(C=C1)COC2=C(C=C(C=C2)[C@H](CC(=O)NC3=CC=CC(=C3)CN)NC(=O)OCC4=CC=CC=C4)Br,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
224,520078106,177664291,C1=CC=C(C=C1)COC2=C(C=C(C=C2)[C@H](CC(=O)NC3=CC=CC(=C3)CN)NC(=O)OCC4=CC=CC=C4)Br,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
225,520078126,177664310,C1CN(CCC1C2=CSC=N2)CC3=CNC4=CC=CC=C43,Unspecified,,,,10,EC50,>,10000,,nM,Falls Outside The Dose Series
226,520078126,177664310,C1CN(CCC1C2=CSC=N2)CC3=CNC4=CC=CC=C43,Unspecified,,,,10,EC90,>,10,,uM,Falls Outside The Dose Series
227,520078126,177664310,C1CN(CCC1C2=CSC=N2)CC3=CNC4=CC=CC=C43,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
228,520078126,177664310,C1CN(CCC1C2=CSC=N2)CC3=CNC4=CC=CC=C43,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
229,520078135,177664318,C1CNC[C@H]1C2=CC(=CC=C2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,5.556,EC50,>,5556,,nM,Falls Outside The Dose Series
230,520078135,177664318,C1CNC[C@H]1C2=CC(=CC=C2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
231,520078153,177664333,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC=C(C=C3)N4C(=O)NN=N4)Cl,Unspecified,,,,11.43,EC50,=,11430,,nM,
