PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,312361122,46975833,CC1=CC(=C(C=C1)NC(=O)C2=C(N=CN2)C(=O)NC3=CC=C(C=C3)F)C4=NNC(=C4)C,Active,,,,2.5,EC50,=,2500,nM,
2,461518522,162645823,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=C(C=C(C=C3)C)C4=CC=C(S4)C,Unspecified,,,,113,EC50,>,113000,nM,Outside typical range
3,461519453,162646520,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=CC=C(C=C3)F)C4=CC=CS4,Active,,,,4,EC50,=,4000,nM,
4,461520190,162647041,CC1=CC(=NN1)C2=CC=CC=C2NC(=O)C3=NC=CN=C3C(=O)NC4=CC=C(C=C4)F,Active,,,,2.2,EC50,=,2200,nM,
5,461522466,162648624,C1=CC=C(C(=C1)CNC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CSC=C4,Unspecified,,,,24,EC50,=,24000,nM,
