PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103685679,6365051,CC1=CC=C(C=C1)C(NN=C(N)N)[P+](=O)O,Unspecified,,,,14,IC50,=,14000,nM,
2,123101033,16130513,CC(C)C[C@@H](C(=O)N[C@H]1CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CC3=CC=CC=C3)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)NC(=O)[C@@H](NC1=O)CC4=CC=C(C=C4)O)C(C)C)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)CNC(=O)[C@H](CCCNC(=N)N)N,Unspecified,,,,11.7,IC50,=,11700,nM,
3,164141974,71521871,COC1=CC=C(C=C1)C2=NN=C(O2)C(CC3=CC=CC=C3)N4C(=O)C5=CC=CC=C5S4,Active,,,,3.75,IC50,=,3750,nM,
4,312363644,118717690,CCN(CC)CCN1C2=CC=CC=C2N=C1NC(=O)C3=CC=C(O3)CN4C(=C(C(=N4)C#N)Cl)C,Active,,,,4,Ki,=,4000,nM,
5,312363644,118717690,CCN(CC)CCN1C2=CC=CC=C2N=C1NC(=O)C3=CC=C(O3)CN4C(=C(C(=N4)C#N)Cl)C,Unspecified,,,,15.6,IC50,=,15600,nM,
6,312363645,50800463,CC(=O)N1C(OC(=N1)C2=CC(=NC3=CC=CC=C32)C4=CC=CC=C4)C5=CC=C(C=C5)C(=O)O,Active,,,,4.9,Ki,=,4900,nM,
7,312363645,50800463,CC(=O)N1C(OC(=N1)C2=CC(=NC3=CC=CC=C32)C4=CC=CC=C4)C5=CC=C(C=C5)C(=O)O,Unspecified,,,,12.5,IC50,=,12500,nM,
8,312363646,46370413,CC1=C(C(=CC=C1)C)N2C3=C(C(=O)N(C(=N3)SCC4=CC(=O)N5C=C(C=CC5=N4)Cl)C6=C(C=CC=C6C)C)SC2=S,Active,,,,3.9,IC50,=,3900,nM,
9,312363646,46370413,CC1=C(C(=CC=C1)C)N2C3=C(C(=O)N(C(=N3)SCC4=CC(=O)N5C=C(C=CC5=N4)Cl)C6=C(C=CC=C6C)C)SC2=S,Active,,,,3.4,Ki,=,3400,nM,
10,312366621,118719333,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)C4=NNN=C4,Unspecified,,,,69,IC50,=,69000,nM,
11,312366622,3465629,CC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=C(C=C3)N(C)C)C,Unspecified,,,,121,IC50,=,121000,nM,Outside typical range
