PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103412696,4659569,CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],Active,,,,7.1,EC50,=,7100,nM,
2,442048563,156011052,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=CC=C3,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined
3,469798503,164608839,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCCC3=CC=CC=C3,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined
4,469798545,164608867,C1OC2=C(O1)C=C(C=C2)OC3=CC=C(C=C3)C(=O)N[C@@H](C4=CC=C(C=C4)OCC5=CC=CC=C5)C(=O)NC6=CC=CC(=C6)C(=O)N,Active,,,,1.5,EC50,=,1500,nM,
5,469798880,164609098,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NC3=CC=C(C=C3)C(=O)N,Active,,,,7,EC50,=,7000,nM,
6,469799145,164609285,CCCCCC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCC2=CC=C(C=C2)C(=O)N,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined
7,469799162,164609299,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)N3CCC(CC3)C(=O)N,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined
8,469800001,164609903,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NC3=CC=CC(=C3)C(=O)N)NC(=O)C4=CC=C(C=C4)OC5=CC=CC=C5,Active,,,,0.73,EC50,=,730,nM,
9,469800171,164610024,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)Cl,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined
10,469800217,164610057,CCCC[C@@H](C(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)N)NC(=O)C,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined
11,469800793,164610466,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NC3=CC=CC(=C3)C(=O)N)NC(=O)C4=CC=C(C=C4)C5=CN=CN=C5,Active,,,,8.1,EC50,=,8100,nM,
12,469800885,164610537,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)N,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined
13,469800897,164610544,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=C(C=CC=C2Cl)Cl)C(=O)NC3=CC=CC(=C3)C(=O)N,Active,,,,2.4,EC50,=,2400,nM,
14,469801282,164610829,CCCCCC(=O)N[C@H](C1=CC=C(C=C1)OCC2=CC=C(C=C2)C(F)(F)F)C(=O)NCC3=CC=C(C=C3)C(=O)N,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined
15,469801494,164610989,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=C(C=CC=C2Cl)Cl)C(=O)NCC3=CC=C(C=C3)C(=O)N,Active,,,,8.3,EC50,=,8300,nM,
16,469802161,164611470,CCCCCCN[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)N,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined
17,469802462,164611683,CCCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)N,Active,,,,7.9,EC50,=,7900,nM,
18,469802855,164611973,C1=CC=C(C=C1)CN[C@@H](C2=CC=C(C=C2)OCC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=O)N,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined
19,469802966,164612051,COCCOCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)N,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined
20,469803169,164612199,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NCC3=CC=C(C=C3)C(=O)N)NC(=O)CCCCCN,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined
21,469803673,164612576,C1COCCN1C(=O)C2=CC=CC(=C2)C(=O)N[C@@H](C3=CC=C(C=C3)OCC4=CC=CC=C4)C(=O)NC5=CC=CC(=C5)C(=O)N,Unspecified,,,,23,EC50,=,23000,nM,
22,469804096,164612883,CCCCCC(=O)N[C@H](C1=CC=C(C=C1)OCC2=CC(=C(C=C2)Cl)Cl)C(=O)NCC3=CC=C(C=C3)C(=O)N,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined
23,469804284,164613024,C1COC2=C(O1)C=CC(=C2)C(=O)N[C@@H](C3=CC=C(C=C3)OCC4=CC=CC=C4)C(=O)NC5=CC=CC(=C5)C(=O)N,Active,,,,5.4,EC50,=,5400,nM,
24,469804985,164613509,C1=CC=C(C=C1)COC2=CC=C(C=C2)[C@@H](C(=O)NC3=CC=CC(=C3)C(=O)N)NC(=O)C4=CC=C(C=C4)C(=O)C5=CC=CC=C5,Active,,,,0.39,EC50,=,390,nM,
25,469805151,164613625,CCCCCC(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)OCC4=CC=CC=C4,Inconclusive,,,Potential missing data,,EC50,,,,Not Determined
