PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,461518965,162646155,C/C=C(\C)/[C@H]1[C@H]([C@@H]2[C@H](C[C@@H](C[C@H]2C=C1C)OC(=O)C)C)/C=C/C=C/C(=O)O,Unspecified,,,,15.5,IC50,=,15500,nM
2,461531588,162654989,C[C@H]1[C@H](CC[C@@H]2[C@@H]1[C@@H]([C@@H](C(=C2)C)/C(=C/COC(=O)C)/C)/C=C/C=C/C(=O)O)O,Unspecified,,,,13.6,IC50,=,13600,nM
3,461532632,162655705,C/C=C(\C)/[C@H]1[C@H]([C@@H]2[C@H](C[C@@H](C[C@H]2C=C1C)O)C)/C=C/C=C/C(=O)O,Unspecified,,,,19,IC50,=,19000,nM
4,461538961,162660210,C/C=C(\C)/[C@H]1[C@H]([C@@H]2[C@H](C[C@H](C[C@H]2C=C1C)O)C)/C=C/C=C/C(=O)O,Unspecified,,,,19,IC50,=,19000,nM
5,461544738,162664238,C[C@H]1CCC[C@@H]2[C@@H]1[C@@H]([C@@H](C(=C2)C)/C(=C/CO)/C)/C=C/C=C/C(=O)O,Unspecified,,,,37.5,IC50,=,37500,nM
6,461550941,162668557,C/C=C(\C)/[C@H]1[C@H]([C@@H]2[C@H](CC(=O)C[C@H]2C=C1C)C)/C=C/C=C/C(=O)O,Unspecified,,,,11.8,IC50,=,11800,nM
