PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Text Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Standardized version of non-numeric measurement,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,,
391,520070750,177662110,CS(=O)(=O)N1CCC(CC1)[C@H](C(=O)NC2=CC=CC(=C2)CN)NC(=O)OCC3=CC=CC=C3,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
392,520070751,177662111,COC1=CC(=CC(=C1OC)C(=O)NC2=CC=CC(=C2)CN)NC(=O)OCC3=CC=CC=C3,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
393,520070752,177662112,CC1=C(C2=C(N1C3CCCC3)C=CC(=C2)OC)C(=O)NC4=CC=CC(=C4)CN,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
394,520070754,177662114,CN(C)CCOC1=C(C=C(C=C1)Cl)C(=O)NC2=CC=CC(=C2)CN,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
395,520070755,177662115,CN(C)C(=O)C[C@@H]1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NNC4=CC(=C3)F,Unspecified,,,,54.459,IC50,=,54459,,nM,,
396,520070755,177662115,CN(C)C(=O)C[C@@H]1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NNC4=CC(=C3)F,Unspecified,,,,71.692,IC50,=,71692,,nM,,
397,520070756,177662116,C1COC2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
398,520070757,177662117,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)/C=C/C3=CC(=CC=C3)N4C(=O)NN=N4)Cl,Active,,,,8.647,IC50,=,8647,,nM,,
399,520070757,177662117,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)/C=C/C3=CC(=CC=C3)N4C(=O)NN=N4)Cl,Unspecified,,,,11.514,IC50,=,11514,,nM,,
400,520070760,177662120,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)CN)Cl,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
401,520070761,177662121,CCCCCN1C=C(C2=CC=CC=C21)C(=O)NC3=CC=CC(=C3)CN,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
402,520070763,177662123,C1CC1(C2=NC3=C(C=C(C=C3N2)Cl)C(=O)NC4=CC5=C(CNC5)C=C4)N6C=CN=N6,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
403,520070764,177662124,CCC1=C(C=C(C=C1)[C@@H](CC(=O)NC2=CC=CC(=C2)CN)NC(=O)OCC3=CC=CC=C3)Br,Unspecified,,,,85.079,IC50,=,85079,,nM,,
404,520070765,177662125,C1=CC=C2C(=C1)C(=CN2)CN[C@@H](CC3=CN=CC=C3)CO,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
405,520070766,177662126,C1CN(CCC1[C@H](C(=O)NC2=CC=CC(=C2)CN)NC(=O)OCC3=CC=CC=C3)C(=O)C4=CC=CC=C4,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
406,520070770,177662130,CC1=C(C=C(N1C)C2CC2)C(=O)NC3=CC=CC(=C3)C4CCOCC4,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
407,520070771,177662131,C1CC2=C(C=CC(=C2)C(=O)NC3=CC4=C(CNC4)C=C3)NC(=O)C1,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
408,520070772,177662132,CCC1=C(SC(=C1)C(=O)NC2=CC=CC(=C2)C3=NNN=N3)C4=CC=C(C=C4)Cl,Unspecified,,,,,IC50,,,IC50 could not be calculated,,,
409,520070773,177662133,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC4=NN(N=C34)C5=CC=CC=C5)Cl,Unspecified,,,,12.909,IC50,=,12909,,nM,,
410,520070775,177662135,CC1=C(C=C(N1C)C2CC2)C(=O)NC3=CC=CC(=C3)C4CCNCC4,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
411,520070779,177662139,CCC[C@H](C)N1CC2=C(C1)C=C(C=C2)NC(=O)C3=C4C=NNC4=CC(=C3)Cl,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
412,520070784,177662144,C1CC[C@H]2[C@@H](C1)NC(=O)CN2C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
413,520070785,177662145,CC1=C(C=C(N1C)C2CC2)C(=O)NC3=NC=CC(=C3)C(=O)N4CC(C4)C(=O)N,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
414,520070787,177662147,C1C(CC1(CN)F)NC(=O)C2=CC(=CC(=C2)Cl)NC(=O)OCC3=CC=CC=C3,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
415,520070788,177662148,CC(C)[C@H](CC(=O)O)NC(=O)C1=CC(=CC(=C1)Cl)NC(=O)OCC2=CC=CC=C2,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
416,520070790,177662150,CC1=CSC(=N1)CO[C@H]2CCN(C2)C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
417,520070792,177662152,CC1=CC(=CN=C1N2CCCCC2)NC(=O)C3=C(N(C(=C3)C4CC4)C)C,Unspecified,,,,,IC50,,,IC50 could not be calculated,,,
418,520070793,177662153,C1CC(C1)N2C3=CC(=CC(=C3C=N2)C(=O)NC4=CC5=C(CNC5)C=C4)Cl,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
419,520070794,177662154,C1C[C@H](N(C1)C(=O)NC2=CC3=C(CNC3)C=C2)CC4=CC5=CC=CC=C5O4,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
420,520070795,177662155,C[C@@H](C1=NN=C2N1CCCC2)NC(=O)C3=C4CC(=O)NC4=CC=C3,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
421,520070797,177662157,C1CC1C2=CC(=CC(=C2)Cl)[C@H](C#N)NC3=NC=C(C=C3)CC(=O)O,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
422,520070798,177662158,C1CC(C1)(C2=CC(=CC=C2)NS(=O)(=O)C3=CC=C(C=C3)OC4=CC=CC=C4Cl)N,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
423,520071500,177662229,C=CC[C@@H]1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4CC(=O)NC4=CC=C3,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
424,520071501,177662230,C1CC2=C(C1)SC(=N2)C3=NC4=C(C=C(C=C4N3)Cl)C(=O)NC5=CC6=C(CNC6)C=C5,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
425,520071502,177662231,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)[C@H](C#N)NC3=CC=CC(=C3)C4=NNN=N4)Cl,Active,,,,8.743,IC50,=,8743,,nM,,
426,520071502,177662231,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)[C@H](C#N)NC3=CC=CC(=C3)C4=NNN=N4)Cl,Active,,,,6.616,IC50,=,6616,,nM,,
427,520071502,177662231,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)[C@H](C#N)NC3=CC=CC(=C3)C4=NNN=N4)Cl,Active,,,,8.368,IC50,=,8368,,nM,,
428,520071502,177662231,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)[C@H](C#N)NC3=CC=CC(=C3)C4=NNN=N4)Cl,Unspecified,,,,11.378,IC50,=,11378,,nM,,
429,520071503,177662232,COC1=C(C2=C(C=C1)NC=N2)S(=O)(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
430,520071506,176468864,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NNC4=CC(=C3)Cl,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
431,520071506,176468864,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NNC4=CC(=C3)Cl,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
432,520071507,177662235,C1C2=C(CN1)C=C(C=C2)N[C@@H](C#CC3=CC=CC=C3)C4=C5C=NNC5=CC(=C4)Cl,Unspecified,,,,88.786,IC50,=,88786,,nM,,
433,520071508,177662236,C[C@@]1(C2=C(C=C(C=C2NC1=O)F)C(=O)NC3=CC4=C(CNC4)C=C3)OC,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
434,520071510,177662238,C[C@H]1C[C@H](CC(=O)N1)C(=O)NC2=CC=CC(=C2)CN,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
435,520071511,177662239,C1COC2(CC1(C2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4)CN,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
436,520071512,177662240,C1CC1C2=CC(=CC=C2)C(=O)NC3=NC=CC(=C3)C4=CN=CC=C4,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
437,520071517,177662245,C1C[C@H]2[C@@H](NC3=C([C@H]2OC1)C=C(C=C3)CN)C4=CC(=CC(=C4)Cl)NC(=O)OCC5=CC=CC=C5,Unspecified,,,,33.909,IC50,=,33909,,nM,,
438,520071517,177662245,C1C[C@H]2[C@@H](NC3=C([C@H]2OC1)C=C(C=C3)CN)C4=CC(=CC(=C4)Cl)NC(=O)OCC5=CC=CC=C5,Unspecified,,,,45.75,IC50,=,45750,,nM,,
439,520071519,177662247,C1[C@@H](N(C(=O)N1)C(=O)OCC2=CC=CC=C2)C3=CC(=C(C=C3)OCC4=CC=CC=C4)Br,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
440,520071520,177662248,CCOC(=O)C1=CSC(=N1)[C@H]2CCCN2C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
441,520071523,177662251,CSC1(CCC1)C(=O)N[C@H](CC(=O)NC2=CC=CC(=C2)CN)C3=CC(=C(C=C3)OCC4=CC=CC=C4)Br,Unspecified,,,,,IC50,,,IC50 could not be calculated,,,
442,520071525,177662253,CC[C@H](CC1=NNN=N1)C2=CC=C(C=C2)NC(=O)C3=CC(=CC(=C3)Cl)N4C=CC=C4,Unspecified,,,,14.747,IC50,=,14747,,nM,,
443,520071525,177662253,CC[C@H](CC1=NNN=N1)C2=CC=C(C=C2)NC(=O)C3=CC(=CC(=C3)Cl)N4C=CC=C4,Unspecified,,,,20.879,IC50,=,20879,,nM,,
444,520071532,177662260,C1[C@H]([C@@H]1C2=C3C=NNC3=CC=C2)C4=CC5=C(CNC5)C=C4,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
445,520071535,172991061,C1C2=C(CN1)C=C(C=C2)N[C@@H](C#N)C3=CN=CC4=CC=CC=C43,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
446,520071536,177662263,CN(C)[C@@H]1CCC[C@H](C1)C(=O)NC2=CC=CC(=C2)CN,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
447,520071538,177662265,CN(C)CC1=CC(=CC=C1)C(=O)NC2=CC=CC(=C2)CN,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
448,520071539,177662266,C1=CC=C(C=C1)[C@@H]2C(=O)NC3=CC=CC(=C3O2)C(=O)NC4=CC=CC(=C4)CN,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
449,520071542,177662269,CC1([C@H]2[C@H](CCCN2C(=O)NC3=CC4=C(CNC4)C=C3)NC1=O)C,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
450,520071543,177662270,C1CN(CCN1CC2=CNC3=CC=CC=C32)C4=CC=CC=C4S(=O)(=O)N,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
451,520071546,177662273,C1C2=C(C=C(C=C2)NC(=O)C3=C4C=NNC4=CC(=C3)Cl)S(=O)(=O)N1,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
452,520071548,177662275,C1=CC=C(C(=C1)OC2=CC=C(C=C2)S(=O)(=O)NC3=CC(=C(C=C3C(=O)O)Cl)F)Cl,Active,,,,8.351,IC50,=,8351,,nM,,
453,520071548,177662275,C1=CC=C(C(=C1)OC2=CC=C(C=C2)S(=O)(=O)NC3=CC(=C(C=C3C(=O)O)Cl)F)Cl,Active,,,,9.1,IC50,=,9100,,nM,,
454,520071548,177662275,C1=CC=C(C(=C1)OC2=CC=C(C=C2)S(=O)(=O)NC3=CC(=C(C=C3C(=O)O)Cl)F)Cl,Active,,,,8.364,IC50,=,8364,,nM,,
455,520071548,177662275,C1=CC=C(C(=C1)OC2=CC=C(C=C2)S(=O)(=O)NC3=CC(=C(C=C3C(=O)O)Cl)F)Cl,Active,,,,5.273,IC50,=,5273,,nM,,
456,520071548,177662275,C1=CC=C(C(=C1)OC2=CC=C(C=C2)S(=O)(=O)NC3=CC(=C(C=C3C(=O)O)Cl)F)Cl,Active,,,,5.735,IC50,=,5735,,nM,,
457,520071548,177662275,C1=CC=C(C(=C1)OC2=CC=C(C=C2)S(=O)(=O)NC3=CC(=C(C=C3C(=O)O)Cl)F)Cl,Unspecified,,,,11.153,IC50,=,11153,,nM,,
458,520071548,177662275,C1=CC=C(C(=C1)OC2=CC=C(C=C2)S(=O)(=O)NC3=CC(=C(C=C3C(=O)O)Cl)F)Cl,Unspecified,,,,16.519,IC50,=,16519,,nM,,
459,520071548,177662275,C1=CC=C(C(=C1)OC2=CC=C(C=C2)S(=O)(=O)NC3=CC(=C(C=C3C(=O)O)Cl)F)Cl,Unspecified,,,,10.21,IC50,=,10210,,nM,,
460,520071548,177662275,C1=CC=C(C(=C1)OC2=CC=C(C=C2)S(=O)(=O)NC3=CC(=C(C=C3C(=O)O)Cl)F)Cl,Unspecified,,,,12.282,IC50,=,12282,,nM,,
461,520071552,177662279,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=C(C=CC(=C3)CCCN)F)Cl,Unspecified,,,,91.068,IC50,=,91068,,nM,,
462,520071554,177662281,C1C2=C(C=CC(=C2)NC(=O)C3=C4C=NNC4=CC(=C3)F)[C@@H](N1)C5=CC=CC=C5,Unspecified,,,,65.906,IC50,=,65906,,nM,,
463,520071558,177662285,C1[C@H]([C@@H]1C(=O)O)C2=CC(=CC(=C2)CN)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
464,520071559,177662286,CCC1=NC(=C(S1)C(=O)NC2=CC=CC(=C2)C3=NNN=N3)C,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
465,520071560,177662287,CC1=CC(=C2C=C(C=CC2=N1)OC)C(=O)NC3=CC=CC(=C3)CN,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
466,520071561,177662288,C=CC[C@@H]1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NNC4=CC(=C3)F,Unspecified,,,,39.043,IC50,=,39043,,nM,,
467,520071562,177662289,C1C[C@@H]2C[C@@](C1)(N2C(=O)OCC3=CC=CC=C3)C(=O)NC4=CC=CC(=C4)CN,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
468,520071563,177662290,C1CC1(C2=C(C=CC=N2)F)NC(=O)C3=C4CC(=O)NC4=CC=C3,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
469,520071564,177662291,C1CN(CCC1C2=NC3=CC=CC=C3S2)[C@@H]4C5=CC=CC=C5NC4=O,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
470,520071567,177662294,CC1=CC(=NC(=N1)C(=O)NC2=CC=CC(=C2)CN)C(F)(F)F,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
471,520071569,177662296,C1CN(C[C@H]1CO)C2=NC=CN(C2=O)CC(=O)NCC3=CC=CS3,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
472,520071570,177662297,CC1=C(C=C(N1C)C(C)(C)C)C(=O)NC2=NC=CC(=C2)C3=CN=CC=C3,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
473,520071576,177662302,C1=CC(=CC(=C1)NC(=O)C2=C(C(=CC(=C2)Cl)Cl)O)CN,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
474,520071578,177662304,C1C[C@@H](CNC1)C2=CC=C(C=C2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
475,520071580,177662306,C1CN(CCC1C2=CNC3=C2C=CC=N3)CC4=CNC5=C4C=NC=C5,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
476,520071581,177662307,C[C@H]1CN(C[C@@H](O1)C(=O)NC2=CC=CC(=C2)CN)C,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
477,520071582,177662308,COC1=CC(=CC(=C1)C(=O)NC2=CC3=C(CNC3)C=C2)Br,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
478,520071583,177662309,C1CC1C2=CC(=CC(=C2)Cl)C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
479,520071584,177662310,C1[C@H]([C@@H]1C(=O)O)C2=CC=CC=C2NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
480,520071585,177662311,C[C@@H]1C2=CC(=CC(=C2CCN1)C3=CC4=C(C=C3)NC(=C4)C(=O)O)F,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
481,520071586,177662312,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC(=CC(=C3)C4=CSC(=C4)CC(=O)O)CN)Cl,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
482,520071587,177662313,C1CC2=C(C1)C(=CC(=C2)Cl)C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
483,520071588,177662314,CC1=C(C=C(N1C)C2CC2)C(=O)NC3=NC=C(C(=C3)C4=CC=CC=N4)Br,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
484,520071589,177662315,CCOC(=O)N1CCC[C@H]1C2=CC=CC(=C2)C3=CC4=C(C=C3)NC(=C4)C(=O)O,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
485,520071590,177662316,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=NC=C(S3)Br,Unspecified,,,,,IC50,,,IC50 could not be calculated,,,
486,520071591,177662317,CC1=C(C=C(N1C)C2CC2)C(=O)NC3=NC=CC(=C3)CN(C)C,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
487,520071592,177662318,CCN1C(=CC(=C1C)C(=O)NC2=NC=CC(=C2)CCCN)C,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
488,520071593,177662319,CCOC(=O)[C@H]1[C@@H]([C@H]1C2=CC(=CC(=C2)Cl)NC(=O)OCC3=CC=CC=C3)C4=CC=CC(=C4)CN,Unspecified,,,,100,IC50,>,100000,,nM,Falls Outside The Dose Series,
