PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103649276,44590045,C[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC2=CC(=C(C=C2)O)[N+](=O)[O-])C(=O)N)NC(=O)C3=CC=CC=C3N,Active,,,,3.87,Km,=,3870,nM,
2,103649276,44590045,C[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC2=CC(=C(C=C2)O)[N+](=O)[O-])C(=O)N)NC(=O)C3=CC=CC=C3N,Unspecified,,,,,Kcat,=,0.67,/min,
3,103649277,44590046,C1=CC=C(C(=C1)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CC3=CN=CN3)C(=O)NCC(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC4=CC(=C(C=C4)O)[N+](=O)[O-])C(=O)N)N,Unspecified,,,,,Kcat,=,0.11,/min,
4,103649277,44590046,C1=CC=C(C(=C1)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CC3=CN=CN3)C(=O)NCC(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC4=CC(=C(C=C4)O)[N+](=O)[O-])C(=O)N)N,Unspecified,,,,10.09,Km,=,10090,nM,
5,103649279,44590048,C1=CC=C(C(=C1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC2=CC(=C(C=C2)O)[N+](=O)[O-])C(=O)N)N,Unspecified,,,,,Kcat,=,2.22,/min,
6,103649279,44590048,C1=CC=C(C(=C1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC2=CC(=C(C=C2)O)[N+](=O)[O-])C(=O)N)N,Unspecified,,,,16.34,Km,=,16340,nM,
7,103649280,44590049,C[C@H]([C@@H](C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC1=CC(=C(C=C1)O)[N+](=O)[O-])C(=O)N)NC(=O)[C@H](CC2=CNC3=CC=CC=C32)NC(=O)[C@H](CC(=O)N)NC(=O)C4=CC=CC=C4N)O,Active,,,,9.37,Km,=,9370,nM,
8,103649280,44590049,C[C@H]([C@@H](C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC1=CC(=C(C=C1)O)[N+](=O)[O-])C(=O)N)NC(=O)[C@H](CC2=CNC3=CC=CC=C32)NC(=O)[C@H](CC(=O)N)NC(=O)C4=CC=CC=C4N)O,Unspecified,,,,,Kcat,=,0.39,/min,
9,103649281,44590050,C[C@H]([C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC1=CC(=C(C=C1)O)[N+](=O)[O-])C(=O)N)NC(=O)CNC(=O)C2=CC=CC=C2N)O,Unspecified,,,,,Kcat,=,0.58,/min,
10,103649281,44590050,C[C@H]([C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC1=CC(=C(C=C1)O)[N+](=O)[O-])C(=O)N)NC(=O)CNC(=O)C2=CC=CC=C2N)O,Unspecified,,,,12.57,Km,=,12570,nM,
11,103649282,44590051,C[C@@H](C(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC2=CC(=C(C=C2)O)[N+](=O)[O-])C(=O)N)NC(=O)C3=CC=CC=C3N,Unspecified,,,,,Kcat,=,0.62,/min,
12,103649282,44590051,C[C@@H](C(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC2=CC(=C(C=C2)O)[N+](=O)[O-])C(=O)N)NC(=O)C3=CC=CC=C3N,Unspecified,,,,10.83,Km,=,10830,nM,
13,103649283,44590052,C1C[C@H](N(C1)C(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)C2=CC=CC=C2N)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC3=CC(=C(C=C3)O)[N+](=O)[O-])C(=O)N,Unspecified,,,,,Kcat,=,0.42,/min,
14,103649283,44590052,C1C[C@H](N(C1)C(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)C2=CC=CC=C2N)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC3=CC(=C(C=C3)O)[N+](=O)[O-])C(=O)N,Unspecified,,,,41.51,Km,=,41510,nM,
15,103649284,44590053,C1=CC=C(C(=C1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC3=CC(=C(C=C3)O)[N+](=O)[O-])C(=O)N)N,Unspecified,,,,,Kcat,=,1.71,/min,
16,103649284,44590053,C1=CC=C(C(=C1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC3=CC(=C(C=C3)O)[N+](=O)[O-])C(=O)N)N,Unspecified,,,,11.31,Km,=,11310,nM,
17,103649287,44590056,C[C@H]([C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC1=CC(=C(C=C1)O)[N+](=O)[O-])C(=O)N)NC(=O)CNC(=O)CNC(=O)C2=CC=CC=C2N)O,Unspecified,,,,,Kcat,=,1.48,/min,
