PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,136922690,57391234,C1=CC=C(C=C1)OC2=CC=C(C=C2)NC(=O)CN3C=C(N=N3)CNC(=O)CN4C(=O)C5=CC=CC=C5S4,Active,,,,4.87,IC50,=,4870,nM
2,136925934,57393000,C1=CC=C(C=C1)C(=O)CN2C=C(N=N2)COC3=CC=CC(=C3)NC(=O)CN4C(=O)C5=CC=CC=C5S4,Active,,,,6.22,IC50,=,6220,nM
3,136925935,57393001,C1=CC=C(C=C1)OC2=CC=C(C=C2)NC(=O)CN3C=C(N=N3)COC4=CC=CC(=C4)NC(=O)CN5C(=O)C6=CC=CC=C6S5,Active,,,,4.45,IC50,=,4450,nM
4,136925936,57393002,C1=CC=C(C=C1)OC2=CC=CC=C2NC(=O)CN3C=C(N=N3)COC4=CC=CC(=C4)NC(=O)CN5C(=O)C6=CC=CC=C6S5,Active,,,,3.48,IC50,=,3480,nM
5,136932398,57396495,C1=CC=C(C=C1)OC2=CC=CC(=C2)NC(=O)CN3C=C(N=N3)COC4=CC=CC(=C4)NC(=O)CN5C(=O)C6=CC=CC=C6S5,Active,,,,4.59,IC50,=,4590,nM
6,136935850,57398280,C1=CC=C(C=C1)NC(=O)CN2C=C(N=N2)COC3=CC=CC(=C3)NC(=O)CN4C(=O)C5=CC=CC=C5S4,Unspecified,,,,13.36,IC50,=,13360,nM
