PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103194516,95276,C1C=CN(C=C1C(=O)N)CC2=CC=CC=C2,Unspecified,,,,100,IC50,>,100000,nM
2,103219982,3220,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,Unspecified,,,,79.8,IC50,=,79800,nM
3,103339848,67145,C1=CC(=C(C=C1CC2=CC(=C(C=C2)O)C(=O)O)C(=O)O)O,Active,,,,9.46,IC50,=,9460,nM
4,103433769,225906,C1=CC2=C(C(=C1)[N+](=O)[O-])NC=C(C2=O)C(=O)O,Unspecified,,,,43.4,IC50,=,43400,nM
5,103509262,224167,C1=CC(=CC=C1C(=O)O)S(=O)(=O)C2=CC=C(C=C2)C(=O)O,Unspecified,,,,100,IC50,>,100000,nM
6,103729629,727382,C1=CC(=CC=C1/C=C/2\C(=O)NC(=O)N2)O,Unspecified,,,,100,IC50,>,100000,nM
7,103729630,46233358,COC1=CC2=C(C=C1)N(CC2CC(=O)O)CC3=CC=CC=C3,Unspecified,,,,100,IC50,>,100000,nM
8,103729694,256889,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)C2=NO[N+](=C2C(=O)C3=CC(=CC=C3)[N+](=O)[O-])[O-],Unspecified,,,,100,IC50,>,100000,nM
9,103729695,3550295,C1=CC(=C(C=C1NC(=O)CN2C=CC(=O)NC2=O)[N+](=O)[O-])O,Unspecified,,,,100,IC50,>,100000,nM
10,103729696,46233395,COC1=CC=C(C=C1)/C=C\2/CN(C(=O)C2=O)CCCC(=O)O,Active,,,,4.47,IC50,=,4470,nM
11,103729958,2185920,COC1=CC=C(C=C1)CN(CC[C@@H](C2=CC=CC=C2)C3=CC=CO3)C(=O)C4=COC=C4,Unspecified,,,,25,IC50,>,25000,nM
12,103729959,135555030,C1=CC(=C(C=C1O)O)/C=N/NC(=O)CCCCC(=O)N/N=C/C2=C(C=C(C=C2)O)O,Unspecified,,,,25,IC50,>,25000,nM
13,103730034,1558458,CC1=CC=CC=C1COC2=CC=C(C=C2)C(=O)[C@H]3[C@@H](N(C(=O)C3=O)CC4=CC=NC=C4)C5=CC(=CC=C5)O,Unspecified,,,,100,IC50,>,100000,nM
14,103730035,986480,C1=CC=C(C=C1)OC2=CC=CC(=C2)[C@@H]3C(=C(C(=O)N3CC4=CN=CC=C4)O)C(=O)C5=CC=CO5,Unspecified,,,,100,IC50,>,100000,nM
15,103730036,135427418,CC1=CC(=C(N1CC2=CC3=C(C=C2)OCO3)C)C(=O)CSC4=NC(=CC(=O)N4)N,Unspecified,,,,100,IC50,>,100000,nM
16,103730089,1376755,C1=CC=C(C=C1)NS(=O)(=O)C2=CC(=C3C=C(C=CC3=C2)O)S(=O)(=O)NC4=CC=CC=C4,Unspecified,,,,100,IC50,>,100000,nM
17,103730092,46233561,CC1=CC(=C(C=C1)C)/C(=C\2/[C@H](N(C(=O)C2=O)CCC3=CC=CC=C3)C4=CC=C(C=C4)O)/O,Unspecified,,,,100,IC50,>,100000,nM
