PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,160701925,60156127,C1=CC=C(C=C1)CNC2=C3C(=NC=N2)N(C=N3)CCN4[C@@H]([C@@H](C4=O)OC5=CC=CC=C5)C6=CC=C(C=C6)Cl,Active,,,,6,IC50,=,6000,nM
2,164149891,71580556,CC(C)(C)C(=O)N(CCCCCCN1C[C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O)C2CCCCCC2,Active,,,,0.6,IC50,=,600,nM
3,318398319,122196576,COC(=O)C1=C(C=C(C=C1)F)NS(=O)(=O)C2=CC=CC(=C2)C3=CN(N=C3)CC4=CC=CC=C4,Active,,,,6,IC50,=,6000,nM
4,318398320,122196577,CC(C)(C)OC(=O)N1CCN(CC1)C2=NC=CC(=N2)C3=CC=C(S3)C4=CC=C(C=C4)Cl,Active,,,,7,IC50,=,7000,nM
5,318398321,122196578,C1=CC=C2C(=C1)C=C(O2)C3=C4C5=C(C=CC(=C5)Cl)N(C4=NC=N3)[C@H]6C([C@H]([C@H](O6)CO)O)O,Active,,,,7,IC50,=,7000,nM
