PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,318394286,122193514,C[C@]1([C@H]([C@H]([C@@H](O1)N2C=C(C3=C(N=CN=C32)N)I)O)O)CO,Active,,,,8.08,CC50,=,8080,nM,
2,318394287,122193515,C[C@]1([C@H]([C@H]([C@@H](O1)N2C=C(C3=C(N=CN=C32)N)C4=CC=CO4)O)O)CO,Unspecified,,,,50,CC50,>,50000,nM,
3,318394288,122193516,C[C@]1([C@H]([C@H]([C@@H](O1)N2C=C(C3=C(N=CN=C32)N)C4=CC=CS4)O)O)CO,Unspecified,,,,50,CC50,>,50000,nM,
4,318394289,122193517,C[C@]1([C@H]([C@H]([C@@H](O1)N2C=C(C3=C(N=CN=C32)N)C4=CSC=C4)O)O)CO,Unspecified,,,,50,CC50,>,50000,nM,
5,318394290,122193518,C[C@]1([C@H]([C@H]([C@@H](O1)N2C=C(C3=C(N=CN=C32)N)C4=CC5=CC=CC=C5O4)O)O)CO,Unspecified,,,,27.01,CC50,=,27010,nM,
6,318394291,122193519,C[C@]1([C@H]([C@H]([C@@H](O1)N2C=C(C3=C(N=CN=C32)N)C#C)O)O)CO,Unspecified,,,,13.42,CC50,=,13420,nM,
7,318394292,122193520,C[C@]1([C@H]([C@H]([C@@H](O1)N2C=CC3=C(N=CN=C32)C4=CC5=CC=CC=C5O4)O)O)CO,Unspecified,,,,50,CC50,>,50000,nM,
8,318395074,122194174,CCOC(=O)[C@H](C)NP(=O)(OC[C@@]1([C@H]([C@H]([C@@H](O1)N2C=C(C3=C(N=CN=C32)N)C4=CC=CO4)O)O)C)OC5=CC=CC=C5,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
9,318395075,122194175,CCOC(=O)[C@H](C)NP(=O)(OC[C@@]1([C@H]([C@H]([C@@H](O1)N2C=C(C3=C(N=CN=C32)N)C4=CC=CS4)O)O)C)OC5=CC=CC=C5,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
10,318395076,122194176,CCOC(=O)[C@H](C)NP(=O)(OC[C@@]1([C@H]([C@H]([C@@H](O1)N2C=C(C3=C(N=CN=C32)N)C4=CC=CC=C4)O)O)C)OC5=CC=CC=C5,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
11,318395077,122194177,CCOC(=O)[C@H](C)NP(=O)(OC[C@@]1([C@H]([C@H]([C@@H](O1)N2C=CC3=C(N=CN=C32)C4=CC=CO4)O)O)C)OC5=CC=CC=C5,Unspecified,,,,50,CC50,>,50000,nM,
12,318395078,122194178,CCOC(=O)[C@H](C)NP(=O)(OC[C@@]1([C@H]([C@H]([C@@H](O1)N2C=CC3=C(N=CN=C32)C4=CC=CS4)O)O)C)OC5=CC=CC=C5,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
13,318395079,122194179,CCOC(=O)[C@H](C)NP(=O)(OC[C@@]1([C@H]([C@H]([C@@H](O1)N2C=CC3=C(N=CN=C32)C4=CC=CC=C4)O)O)C)OC5=CC=CC=C5,Unspecified,,,,50,CC50,>,50000,nM,
