PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,0.2,EC50,=,200,nM
2,461526415,162651345,C[C@H](CO)NC(=O)C1=C2N(C3=C(S2)C=CC(=C3)OC4CCCCC4)C(=O)C(=C1)C5=CC=CC=C5,Active,,,,7.3,EC50,=,7300,nM
3,461528308,162652685,C1CCC(CC1)OC2=CC3=C(C=C2)SC4=C(C=C(C(=O)N34)C5=CC=CC=C5)C(=O)N6CCCC(C6)O,Unspecified,,,,11.1,EC50,=,11100,nM
4,461529513,162653541,C1CCC(CC1)OC2=CC3=C(C=C2)SC4=C(C=C(C(=O)N34)C5=CC=CC=C5)C(=O)NC(CC(=O)O)C6=CC=CC=C6,Active,,,,5,EC50,=,5000,nM
5,461534690,162657168,C1CCC(CC1)OC2=CC3=C(C=C2)SC4=C(C=C(C(=O)N34)C5=CC=CC=C5)C(=O)N6CCC(C6)C(=O)O,Active,,,,8.2,EC50,=,8200,nM
6,461542987,162662971,C1CCC(CC1)OC2=CC3=C(C=C2)SC4=C(C=C(C(=O)N34)C5=CC=CC=C5)C(=O)NCCC(=O)N,Active,,,,7.3,EC50,=,7300,nM
7,461550737,162668410,C[C@@H](CO)NC(=O)C1=C2N(C3=C(S2)C=CC(=C3)OC4CCCCC4)C(=O)C(=C1)C5=CC=CC=C5,Active,,,,8.1,EC50,=,8100,nM
