PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
1,103175813,5329102,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,Active,,,,1.35,EC50,=,1350,nM,,
2,103175813,5329102,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,Active,,,,2.71,EC90,=,2.71,uM,,
3,103645206,44588117,C1=CC(=CN=C1)C(=O)NC2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)C#N,Active,,,,8.37,EC50,=,8370,nM,,
4,103645206,44588117,C1=CC(=CN=C1)C(=O)NC2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)C#N,Unspecified,,,,46.8,EC90,=,46.8,uM,,
5,194166597,59699998,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C4=CC=CC=C4)N=C2)OC,Active,,,,3.02,EC50,=,3020,nM,,
6,194166597,59699998,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C4=CC=CC=C4)N=C2)OC,Active,,,,8.34,EC90,=,8.34,uM,,
7,312358421,118714184,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4CCCCC4)N=C2)OC,Active,,,,4.27,EC50,=,4270,nM,,
8,312358421,118714184,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4CCCCC4)N=C2)OC,Unspecified,,,,10.8,EC90,=,10.8,uM,,
9,440114579,138393295,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C#CC4=CN=CC=C4)N=C2)OC,Active,,,,0.72,EC50,=,720,nM,,
10,440114579,138393295,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C#CC4=CN=CC=C4)N=C2)OC,Active,,,,4.16,EC90,=,4.16,uM,,
11,440118346,155516193,COC1=C(C=C(C=C1)C2=CN=C3C(=N2)C(=CN3)C#CC4=CN=CC=C4)OC,Active,,,,3.28,EC50,=,3280,nM,,
12,440118346,155516193,COC1=C(C=C(C=C1)C2=CN=C3C(=N2)C(=CN3)C#CC4=CN=CC=C4)OC,Active,,,,7.68,EC90,=,7.68,uM,,
13,440119019,155516654,COC1=CC=C(C=C1)C(=O)NC2=CNC3=C2C=C(C=N3)C4=CC(=C(C=C4)OC)OC,Inactive,,,Potential missing data,,EC50,,,,Not Active,
14,440119019,155516654,COC1=CC=C(C=C1)C(=O)NC2=CNC3=C2C=C(C=N3)C4=CC(=C(C=C4)OC)OC,Inactive,,,Potential missing data,,EC90,,,,Not Active,
15,440119848,155517221,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CC=CC=C4)N=C2)OC,Active,,,,4.07,EC50,=,4070,nM,,
16,440119848,155517221,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CC=CC=C4)N=C2)OC,Unspecified,,,,50.5,EC90,=,50.5,uM,,
17,440123901,155519881,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C#CC4=CC(=CC=C4)C#N)N=C2)OC,Unspecified,,,,10.2,EC50,=,10200,nM,,
18,440123901,155519881,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C#CC4=CC(=CC=C4)C#N)N=C2)OC,Unspecified,,,,41.2,EC90,=,41.2,uM,,
19,440124290,155520094,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CC=C(C=C4)F)N=C2)OC,Active,,,,8.34,EC50,=,8340,nM,,
20,440124290,155520094,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CC=C(C=C4)F)N=C2)OC,Unspecified,,,,30.2,EC90,=,30.2,uM,,
21,440125739,155520971,CC1=CC=C(C=C1)C#CC2=CNC3=C2C=C(C=N3)C4=CC(=C(C=C4)OC)OC,Active,,,,7.45,EC50,=,7450,nM,,
22,440125739,155520971,CC1=CC=C(C=C1)C#CC2=CNC3=C2C=C(C=N3)C4=CC(=C(C=C4)OC)OC,Unspecified,,,,20.5,EC90,=,20.5,uM,,
23,440125895,10154537,COC1=CC=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CN=CC=C4)N=C2,Active,,,,4.39,EC50,=,4390,nM,,
24,440125895,10154537,COC1=CC=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CN=CC=C4)N=C2,Unspecified,,,,25.8,EC90,=,25.8,uM,,
25,440129550,155523429,C1=CC(=CN=C1)C(=O)NC2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)F,Active,,,,6.43,EC50,=,6430,nM,,
26,440129550,155523429,C1=CC(=CN=C1)C(=O)NC2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)F,Unspecified,,,,25.2,EC90,=,25.2,uM,,
27,440130088,155523797,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C#CC4=CC(=CC=C4)OC)N=C2)OC,Inactive,,,Potential missing data,,EC50,,,,Not Active,
28,440130088,155523797,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C#CC4=CC(=CC=C4)OC)N=C2)OC,Inactive,,,Potential missing data,,EC90,,,,Not Active,
29,440131412,9858254,C1=CC(=CN=C1)C(=O)NC2=CNC3=C2C=C(C=N3)C4=CSC=C4,Active,,,,3.01,EC50,=,3010,nM,,
30,440131412,9858254,C1=CC(=CN=C1)C(=O)NC2=CNC3=C2C=C(C=N3)C4=CSC=C4,Unspecified,,,,66.8,EC90,=,66.8,uM,,
31,440131448,155524697,CC1=CC=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CN=CC=C4)N=C2,Active,,,,2.6,EC50,=,2600,nM,,
32,440131448,155524697,CC1=CC=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CN=CC=C4)N=C2,Unspecified,,,,33.6,EC90,=,33.6,uM,,
33,440137473,57891796,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C#CC4=CC=CC=C4)N=C2)OC,Active,,,,5.64,EC50,=,5640,nM,,
34,440137473,57891796,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C#CC4=CC=CC=C4)N=C2)OC,Unspecified,,,,10.58,EC90,=,10.58,uM,,
35,440144626,155533332,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C#CC4=CC=C(C=C4)F)N=C2)OC,Active,,,,4.21,EC50,=,4210,nM,,
36,440144626,155533332,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C#CC4=CC=C(C=C4)F)N=C2)OC,Active,,,,8.57,EC90,=,8.57,uM,,
