PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50 Modifier,IC50,IC50 Hill Slope,IC50 NormChi2,IC50 StdDev Modifier,IC50 StdDev,Max CPE Inhibition,Max CPE Inibition Conc,Min CPE Inhibition,Min CPE Inhibition Conc,CPE Inhibition @ 20 uM,CPE Inhibition @ 10 uM,CPE Inhibition @ 5 uM,CPE Inhibition @ 2.5 uM,CPE Inhibition @ 1.25 uM,CPE Inhibition @ 0.625 uM,CPE Inhibition @ 0.313 uM,CPE Inhibition @ 0.156 uM,CPE Inhibition @ 0.078 uM,CPE Inhibition @ 0.039 uM
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,,,,,,,Maximum Inhibition achieved across all concentrations,Concentration (uM) at Maximum Inhibition,Minimum Inhibition achieved across all concentrations,Concentration (uM) at Minimum Inhibition,,,,,,,,,,
RESULT_UNIT,,,,,,,,,MICROMOLAR,NONE,NONE,,NONE,PERCENT,MICROMOLAR,PERCENT,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
87,24798043,135433338,CC1=C(N=C(S1)NC(=O)CSC2=NC(=C(C(=O)N2)C#N)C3=CC(=CC=C3)OC)C4=CC=CC=C4,Active,71,,,,23.408,2.172,2.299,,1.252,40.61,20,-5.23,0.078,40.61,10.76,1.47,3.05,-0.7,-1.97,-4.42,-2.2,-5.23,-1.91
88,4254814,959439,CCN(CC)C1=CC(=C(C=C1)NC(=O)C2=C(C=CC=C2OC)OC)C,Active,71,,,,23.543,1.173,7.258,,6.149,42.93,10,-1.92,0.313,37.82,42.93,6.36,0.72,3.4,-0.22,-1.92,-1.33,0.33,-0.85
89,22406428,2361755,CS(=O)(=O)C1=CC2=C(C=C1)N=C(S2)NC(=O)C3=CC(=CC=C3)NS(=O)(=O)C4=CC(=C(C=C4)F)F,Active,71,,,,23.658,0.485,3.577,,5.335,43.52,20,2.81,0.039,43.52,40.88,37.62,25.17,21.01,13.41,7.43,4.09,9.8,2.81
90,24836142,4099928,C1=CC=C2C(=C1)C3=CC=CC=C3C2=NNC4=CC=CC(=C4)C(=O)O,Active,71,,,,23.865,2.562,2.103,,1.144,38.96,20,-0.32,0.625,38.96,9.36,1.88,2.86,2.25,-0.32,3.22,1.5,0.17,3.34
91,14733117,5130856,CC1=C(C(=O)N2C(=N1)C(=CN2)C(=O)NCCC3=CC=CC=C3Cl)Cl,Active,71,,,,23.868,1.351,1.835,,1.468,44.16,20,-0.96,0.039,44.16,24.3,7.9,6.56,3.63,,1.81,1,1.84,-0.96
92,7973189,1914390,C1=CSC(=C1)C2=CSC(=C2C(=O)O)NC(=O)C3=CC=CS3,Active,71,,,,23.994,1.22,3.23,,2.777,45.71,20,-0.6,0.078,45.71,23.65,13.2,3.98,5.9,4.55,2.32,1.89,-0.6,6.78
93,24804080,3165186,CC1CCC2=C(C1)SC(=C2C#N)NC(=O)C3=CC=CC=C3C(=O)O,Active,71,,,,23.998,1.477,2.2,,1.678,44.2,20,-2.81,0.313,44.2,19.74,8.13,8.15,1.89,-0.73,-2.81,-0.56,-0.25,-0.71
94,17410467,1479664,CC1=CC(=C(C(=C1)C)CSC(C)(C)CNC(=O)C2=CC=C(C=C2)OC)C,Active,71,,,,24.086,1.608,1.722,,1.257,42.07,20,-2.39,0.039,42.07,20.91,6.58,1.5,0.72,-2.04,2.7,0.75,-1.19,-2.39
95,4262061,827818,C1=CSC(=C1)C2=CSC3=C2C(=O)OC(=N3)C4=CC=CS4,Active,71,,,,24.231,2.128,1.625,,1.021,40.12,20,-2.61,0.078,40.12,12.62,3.47,2.66,2.86,-1.22,-1.05,0.64,-2.61,-0.37
96,24797266,135433322,CC1=CC2=C(C=C1)N=C(N2)/C(=C/C3=CC(=C(C(=C3)OC)O)[N+](=O)[O-])/C#N,Active,71,,,,24.464,1.149,1.913,,1.777,44.88,20,-0.72,0.078,44.88,26.11,12.21,6.81,4.11,4.27,2.7,2.25,-0.72,2.98
97,3711506,2997664,CC1=C(C(=NO1)C)CSC2=NN=C(N2CC=C)C3COC4=CC=CC=C4O3,Active,71,,,,24.748,1.252,6.211,,5.619,47.45,20,-0.7,0.039,47.45,18.11,9.34,8.29,8.79,7.51,12.61,0.99,2.07,-0.7
98,14729349,54706306,CCCCCCN1C2=CC=CC=C2C(=C(C1=O)C3=CC=CC=C3)O,Active,70,,,,25.012,1.963,1.804,,1.306,39.68,20,0.14,0.625,39.68,12.74,4.46,5.01,1.99,0.14,0.61,1.36,0.9,1.46
99,17409879,135452225,CC1=CC(=NC2=C1C3=C(S2)C(=O)NC(=N3)SCC=C)C,Active,70,,,,25.37,1.365,3.614,,3.293,44,20,1,0.625,44,17.91,10.08,5.61,7.1,1,3.74,5.2,2.34,2.85
100,3712882,2998198,CCCCN1C2=C(C(=O)N(C1=O)CC3=NN=C(O3)C4=CC=CC=C4)N(C=N2)C5CCCC5,Active,70,,,,25.464,1.027,5.262,,5.652,47.92,20,1.28,0.156,47.92,17.7,24.73,4.69,5.04,4.65,1.82,1.28,1.57,1.56
101,4263609,1245777,C1CCC2=C(C1)N=C(S2)NC(=O)C3=CC=C(S3)Br,Active,70,,,,25.665,1.382,3.862,,3.593,43.47,20,-1.78,0.078,43.47,18.13,6.36,10.24,7.21,-0.24,3.53,1,-1.78,2.51
102,24814677,1494150,CC1=CC(=C(N1C2=CC=C(C=C2)C(=O)O)C)/C=C\3/C(=O)N4C5=CC=CC=C5N=C4S3,Active,70,,,,25.846,1.028,1.676,,1.854,44.5,20,0.45,0.078,44.5,26.02,14.87,9.58,2.49,4.5,3.72,1.45,0.45,0.97
103,24814623,16194424,CC1=CC=C(C=C1)N2C=CC=C2/C=C/3\C(=N)N4C(=NC3=O)SC(=N4)C5=CC=CO5,Active,70,,,,25.96,0.775,3.529,,4.581,43.19,20,2.99,0.078,43.19,38.26,16.77,13.02,9.61,3.81,4.26,3.34,2.99,5.62
104,4260535,764435,CCOC1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C(=N3)C)C,Active,70,,,,26.633,1.099,7.228,,8.209,41.61,10,-0.6,0.039,34.9,41.61,6.7,1.06,0.72,1.03,1.66,2.56,2.51,-0.6
105,7967320,714174,CC1=C(C(=CC=C1)C)NC2=NC3=CC=CC=C3O2,Active,70,,,,26.665,1.474,1.557,,1.541,39.58,20,-0.83,0.313,39.58,19.2,7.47,1.89,4.18,-0.22,-0.83,2.3,1.44,0.36
106,24782530,1328724,COC1=C(C=C(C=C1)C(=O)O)NC(=S)NC(=O)C2=CC=C(O2)C3=CC=C(C=C3)Cl,Active,70,,,,27.084,1.292,4.596,,5.012,43.47,20,0.1,0.313,43.47,15.43,10.26,8.6,5.03,5.74,0.1,5.93,5.09,3.02
107,17510565,12005262,CC(C)S(=O)(=O)C1=NSC2=NC(=O)/C(=C\C3=CC=C(O3)C4=CC=CC=C4)/C(=N)N21,Active,70,,,,27.09,0.792,2.609,,3.608,42.22,20,-0.46,0.156,42.22,33.09,24.2,9.22,6.52,4.27,5.77,-0.46,1.39,2.73
108,17507664,3181398,COCCN1C(=CN=C1SCC(=O)NC2=CC=CC3=CC=CC=C32)C4=CC=CC=C4,Active,70,,,,27.45,0.548,2.503,,4.314,44.24,20,0.4,0.039,44.24,39.9,25.71,23,14.1,8.8,8.57,9.21,4.43,0.4
109,17516422,2469116,COC1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=CC(=C(C=C3)OCC(=O)N4CCOCC4)OC,Active,70,,,,27.477,1.15,2.731,,3.242,41.58,20,1.73,0.039,41.58,24.15,9.46,5.25,5.71,4.37,3.01,2.51,4.4,1.73
110,22401273,22299759,C1=CC2=C(C=C1Br)OC=C(C2=O)/C=N/C3=NC=NN3,Active,70,,,,27.487,1.162,1.995,,2.36,39.81,20,-0.21,0.156,39.81,26.33,9.65,7.52,0.11,1.02,1.23,-0.21,2.69,0.48
111,14722211,2059880,COC1=C(C=C(C=C1)C2=NN=C(O2)C3=CC(=C(C(=C3)OC)OC)OC)OC,Active,70,,,,27.488,0.639,2.298,,3.645,42.53,20,1.92,0.078,42.53,38.31,25.25,17.5,10.2,5.86,5.75,6.31,1.92,3.42
112,24837148,724242,C1CCC2=C(CC1)SC(=C2C(=O)O)NC(=O)C3=CC=CS3,Active,69,,,,27.578,1.335,1.522,,1.708,39.89,20,-1.55,0.156,39.89,20.09,7.78,5,3.42,2.88,1.61,-1.55,0.15,1.31
113,24823709,135423599,CC1=C(C=C(C=C1)C(=O)CSC2=NC3=C(C(=CC(=N3)C)C)C(=O)N2)C,Active,69,,,,27.649,2.119,2.906,,2.892,34.16,20,-0.91,1.25,34.16,7.21,8.26,1.08,-0.91,3.61,-0.38,2.68,1.87,-0.11
114,24837351,6536725,C1CCN(C1)C2=C(C=C(C=C2)/C=C(\CCC(=O)O)/C3=NC4=CC=CC=C4S3)[N+](=O)[O-],Active,69,,,,27.822,1.922,2.096,,2.151,34.04,20,-2.67,0.625,34.04,14.6,1.04,-1.74,1.15,-2.67,0.9,-1.06,-2.34,0.13
115,17434084,1184426,COC1=C(C=C(C=C1)/C=C/C(=O)NC2=C(C=CC(=C2)C(F)(F)F)Cl)OC,Active,69,,,,27.882,1.556,3.395,,3.699,38.8,20,-2.47,0.625,38.8,12.57,9.65,5.69,0.72,-2.47,3.05,3.6,4.28,-1.65
116,14742023,6292469,CCC1=CC=C(C=C1)CC2C(=O)N/C(=C(/C#N)\C(=O)C)/S2,Active,69,,,,27.91,1.54,2.866,,3.141,37.56,20,-0.47,0.078,37.56,17.29,5.29,1.13,5.78,2.24,4.47,-0.24,-0.47,3.83
117,24809359,135455188,C1=CC=C(C=C1)C2=C(C(=O)NC(=N2)SCC(=O)NC3=NN=C(S3)C(F)(F)F)C#N,Active,69,,,,28.15,1.225,3.869,,4.718,36.73,20,-0.72,2.5,36.73,28.89,8.45,-0.72,0.72,4.4,-0.62,0.6,3.31,-0.62
118,3711835,675358,CC1=CC=C(O1)C(=O)NC2=C(C3=C(S2)CCCCC3)C(=O)O,Active,69,,,,28.386,1.125,3.244,,4.173,38.03,20,-1.68,0.039,38.03,29.67,7.85,4.66,2.49,4.75,-0.26,-0.15,2.09,-1.68
119,24801930,755449,C1CCC2=C(CC1)SC(=C2C(=O)O)NC(=O)C3=CC=CC=C3,Active,69,,,,28.389,1.28,0.926,,1.132,39.2,20,-1.22,0.078,39.2,19.98,10.61,5.03,0.98,0.27,-0.33,-1.04,-1.22,-0.7
120,17387719,1223878,COC1=CC=CC=C1C2=NC3=CC=CC=C3C(=C2)C(=O)N4CCC5=CC=CC=C5C4,Active,69,,,,28.794,1.297,2.159,,2.716,39.32,20,-1.57,0.078,39.32,18.41,8.83,7.15,0.96,0.95,2.7,2.54,-1.57,2.88
121,14743557,695620,C1=CSC(=C1)C2=NC3=C(C=C(C=C3)Br)C(=O)O2,Active,69,,,,28.875,1.714,2.336,,2.744,35,20,-1.25,0.625,35,13.48,4.05,3.05,3.6,-1.25,0.74,-0.56,4.42,2.89
122,14746655,9552024,CCNC(=O)NC(=O)C(C)SC1=NC2=C(C=CC(=C2)C(=O)OC)C(=O)N1C3=CC=CC=C3,Active,69,,,,28.881,0.94,2.307,,3.316,42.53,20,-0.11,0.039,42.53,25.45,16.43,8.85,2.99,3.26,5.49,3.26,3.78,-0.11
123,17505596,12004618,CC1=C(C=C(C=C1)N2C=CC=C2/C=C\3/C(=N)N4C(=NC3=O)SN=C4S(=O)(=O)C)Cl,Active,69,,,,28.947,2.203,1.876,,2.263,30.56,20,-3.05,0.078,30.56,6.77,4.72,-0.88,-1.04,,0.26,0.24,-3.05,-0.49
124,14738275,9551355,CC1CCCCN1C2=NN=C(S2)NC(=O)C3=NOC(=C3)C4=CC=C(C=C4)Br,Active,69,,,,28.954,0.784,2.941,,4.601,40.53,20,0.75,0.039,40.53,34.02,21.66,9.29,3.8,8.75,3.24,1.14,2.54,0.75
125,17516946,5237490,CC1=CC2=C(C=C1)N=C(S2)NC(=O)C3=NN(C(=O)CC3)C4=CC=CC=C4,Active,69,,,,28.966,1.992,2.494,,2.931,32.89,20,0.37,0.625,32.89,8.74,4.1,4.96,3.82,0.37,0.79,0.64,1.8,2.99
126,14730043,3782202,COC(=O)C1=C(SC2=C1CCN(C2)C3=C(C=C(C=N3)C(F)(F)F)Cl)N(S(=O)(=O)C)S(=O)(=O)C,Active,69,,,,29.155,1.046,1.813,,2.542,40.17,20,0.31,0.156,40.17,26.09,11.09,6.85,4.06,3.76,2.72,0.31,3.23,0.89
127,24787031,1082731,CCC1=CC(=C(S1)NC(=O)C2=CC(=C(C(=C2)OC)OC)OC)C(=O)O,Active,69,,,,29.216,0.81,3.669,,5.75,37.89,20,0.47,0.078,37.89,37.3,18.59,9.53,6.6,1.15,3.67,0.65,0.47,3.42
128,17433307,2942047,CC(C)CC(=O)N1CCN(CC1)C2=CC(=C(C=C2)[N+](=O)[O-])NC(C)C3=CC=CC=C3,Active,69,,,,29.222,1.645,2.786,,3.414,35.39,20,0.27,0.625,35.39,13.34,5.22,3.6,2.9,0.27,2.4,0.29,1.06,6.67
129,24835105,2502345,CN(C)S(=O)(=O)C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2CN(C)C3CCCCC3,Active,69,,,,29.893,1.913,3.677,,4.807,31.54,20,-1.32,0.078,31.54,12.16,-1.21,5.13,4.14,,5.64,2.44,-1.32,-1.11
130,851766,654359,C1=CC=C(C=C1)C(=O)NC2=NC(=CS2)C3=CC=CO3,Active,68,,,,30.725,1.842,1.368,,1.963,30.29,20,-3.13,0.625,30.29,10.21,1.34,0.85,-0.19,-3.13,0.08,-1.74,-0.01,-3.04
131,24833342,2400427,COC1=CC=C(C=C1)/C=C/C(=O)NC2=CC=CC=C2C(=O)O,Active,68,,,,30.996,0.794,3.271,,5.758,37.4,20,-3.94,0.078,37.4,34.27,20.13,10.48,7.33,4.5,-0.95,-0.1,-3.94,-0.03
132,24787194,828417,C1CC2=C(C1)SC(=C2C(=O)O)NC(=O)C3=CC=C(C=C3)F,Active,68,,,,31.356,1.21,4.333,,6.808,39.37,20,-0.33,0.313,39.37,15.38,7.24,11.08,4.66,2.31,-0.33,5.68,3.11,4.71
133,24786822,1791983,C=CCN(CC=C)C(=S)NC(=O)CC1=CC=CC2=CC=CC=C21,Active,68,,,,31.572,1.287,1.786,,2.815,36.32,20,-3.32,0.039,36.32,16.61,10.82,2.79,1.72,0.24,2.06,0.94,0.4,-3.32
134,17432821,1338763,CC(C)(C(=O)NC1=NN(C(=O)C1)C2=CC=CC=C2)OC3=CC=C(C=C3)Cl,Active,68,,,,31.796,1.714,2.05,,3.24,31.65,20,-2.07,0.078,31.65,9.85,7.77,-0.72,1.89,0.43,-0.41,1.33,-2.07,1.32
135,22400436,1222577,CC1=CC(=NO1)N=CC2=C(C=CC3=C2C=CC(=C3)Br)O,Active,68,,,,31.839,1.096,2.77,,4.619,37.56,20,-1.21,0.156,37.56,22.65,10.92,2.91,4.83,2.09,7,-1.21,2.16,-0.55
136,24822700,16195278,CC(C)CC1=NN2C(=C(C(=O)N=C2S1)/C=C/3\C=NC4=CC=CC=C43)N,Active,68,,,,32.075,0.959,2.981,,5.242,37.48,20,-4.45,0.078,37.48,25.46,18.18,4.38,6.29,-0.19,-1.53,-0.45,-4.45,-0.4
137,24782308,6249918,CC(C)CCOC1=CC=C(C=C1)/C=C/2\CCN3C2=NC4=C(C3=O)C=CC(=C4)C(=O)O,Active,68,,,,32.202,1.234,5.25,,8.75,32.96,20,-4.21,0.078,32.96,26.95,0.86,9.2,-0.9,-2.85,-3.58,-0.97,-4.21,-1.4
138,17512193,760005,CC1=CC(=CC=C1)C(=O)NC2=C(C(=CS2)CC(C)C)C(=O)O,Active,68,,,,32.339,1.102,2.147,,3.701,37.89,20,1.07,0.078,37.89,20.44,10.66,5.83,3.2,1.1,5.47,3.17,1.07,1.19
139,17505975,3139769,CC1=CC=C(C=C1)C2=CC(=C(C(=O)N2)C#N)C(F)(F)F,Active,67,,,,32.628,1.035,2.74,,4.888,39.51,20,0.56,0.156,39.51,20.5,10.46,6.08,6.98,5.05,3.22,0.56,3.23,2.68
140,3712029,2879611,CS(=O)(=O)N(CC(CN1C2=CC=CC=C2C3=CC=CC=C31)O)C4=CC=CC=C4,Active,67,,,,32.97,0.772,4.581,,9.111,46.12,20,3.67,0.625,46.12,21.47,16.13,14.51,8.27,3.67,5.24,4.92,7.5,3.81
141,22413983,1234230,CCOC(=O)C1=NN(C2=NC(=CC(=O)N12)NC3=CC=CC=C3)C4=CC(=CC=C4)Cl,Active,67,,,,33.009,1.711,2.069,,3.679,30.49,20,-2.53,0.313,30.49,8.94,6.13,2.79,3.47,-1.56,-2.53,0.01,0.07,0.64
142,24814601,16194416,COC1=CC=C(C=C1)N2C=CC=C2/C=C/3\C(=N)N4C(=NC3=O)SC(=N4)C5=CC=CO5,Active,67,,,,33.244,1.505,2.66,,4.747,33.08,20,-1.4,0.039,33.08,9.47,10.56,2.08,2.16,-0.79,-0.49,0.62,1.32,-1.4
143,17505252,1832044,C1=CC=C(C=C1)N2C(=O)C3=CN=C(N=C3NC2=O)SCC4=CC(=CC=C4)Cl,Active,67,,,,33.31,1.554,3.056,,5.498,32.33,20,-0.2,0.078,32.33,10.4,4.03,8.31,3.82,0.3,3.27,0.29,-0.2,-0.16
144,24823548,5291987,COC1=CC(=CC(=C1O)[N+](=O)[O-])/C=C(\C#N)/C2=NC3=CC=CC=C3S2,Active,67,,,,33.687,0.681,4.141,,8.949,38.67,10,3.54,0.039,37.99,38.67,17.78,12.53,6.57,5.86,4.59,5.59,5.55,3.54
145,24791372,1548693,CCOC(=O)C1=CC2=C(NC1=O)SC(=C2N)C(=O)C3=CC=C(C=C3)Br,Active,67,,,,33.952,1.34,1.716,,3.235,32.91,20,-2.4,0.313,32.91,15.94,8.33,3.96,-1.82,-0.45,-2.4,-1.57,-0.04,1.32
146,24833116,1232953,CC1=CC=C(O1)C(=O)NC2=C(C(=CS2)C3=CC=CC=C3)C(=O)O,Active,67,,,,34.025,0.956,2.917,,5.791,39.34,20,-2.13,0.078,39.34,21.16,11.95,8.2,10.42,1.79,0.89,-1.63,-2.13,-1.77
147,17409995,4364115,C1=CC=C(C(=C1)NS(=O)(=O)C2=CC=CC=C2F)SCC(=O)NC3=NN=C(S3)C(F)(F)F,Active,67,,,,34.248,1.235,2.975,,5.752,31.59,20,-1.7,0.039,31.59,23.99,5.98,0.21,0.1,-0.09,2.01,0.22,-0.57,-1.7
148,14745913,6262269,C1=COC(=C1)C(=O)O/N=C(/C2=NC(=CS2)C3=CC=C(C=C3)Br)\C(=O)N,Active,67,,,,34.319,0.84,4.46,,9.308,44.51,20,-1.27,0.039,44.51,18.63,12.86,12.91,8.99,8.39,2.66,1.03,3.6,-1.27
149,24821499,5799476,CC1=CC(=NC2=C1C(=C(S2)/C=C/C(=O)OC)N=CN(C)C)C,Active,67,,,,34.397,0.968,1.383,,2.8,37.82,20,0.4,0.039,37.82,21.71,14.71,6.25,4.56,1.79,0.54,2.73,2.29,0.4
150,24833105,16196403,CC(C)C[C@@H](C(=O)OC(C)(C)C)NC(=O)C1=C(NC=N1)C(=O)N2CCN(CC2)C(=O)OC(C)(C)C,Active,67,,,,34.847,1.117,2.609,,5.305,33.06,20,-2.61,0.078,33.06,23.35,11.57,0.48,2.9,-0.68,-1.15,-0.81,-2.61,-1.27
151,866093,667353,CC1=C(C2=C(O1)C=CC(=C2)OC(=O)N(C)C)C(=O)OC(C)C,Active,66,,,,35.15,1.502,2.781,,5.813,31.46,20,-1.56,0.039,31.46,8.36,9.19,3.76,1.62,0.45,3.3,0.86,1.35,-1.56
152,14746383,1255726,C1=CC=C(C(=C1)C(=O)O)NC(=O)C2=CC=C(C=C2)NC(=O)C3=CC=C(O3)Br,Active,66,,,,35.387,1.057,2.6,,5.507,35.21,20,-2.24,0.039,35.21,22.46,8.62,4.83,2.37,4.9,5.42,0.46,1.97,-2.24
153,22411431,2123923,CC1=CC=C(C=C1)C2=CSC3=NC=NC(=C23)NS(=O)(=O)C4=CC=C(C=C4)Cl,Active,66,,,,35.474,0.835,3.22,,7.17,36.18,20,-4.06,0.078,36.18,30.99,13.6,6.93,7.43,3.43,5.09,0.8,-4.06,1.31
154,24808120,1092442,CC1=CN=C(C=C1)NC2=NC(=CS2)C3=CC(=C(C=C3)OC)OC,Active,66,,,,35.856,0.727,3.227,,7.608,36.66,20,2.02,0.078,36.66,33.7,19.6,10.14,4.54,3.96,3.55,6.5,2.02,2.81
155,17510810,12005345,CS(=O)(=O)C1=NSC2=NC(=O)/C(=C\C3=CC=C(O3)C4=CC=CC=C4)/C(=N)N21,Active,66,,,,35.98,1.091,1.499,,3.284,34.07,20,-1.8,0.039,34.07,21.3,8.93,4.88,3.08,0.95,2.84,-1.55,1.14,-1.8
