PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,103627460,13370050,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCC[C@@]3(C)C(=O)O)C)O,Unspecified,,,Potential missing data,Inhibition,%,NA
2,194175310,76329368,CC(C)C1=C(C2=C(C=C1)[C@]3(CCC[C@@]([C@@H]3CC2)(C)C(=O)O)C)O,Unspecified,,,Potential missing data,Inhibition,%,NA
3,194188994,76336622,CC(C)C1=C(C2=C(C=C1)[C@]3(CCC[C@@]([C@@H]3CC2)(C)CO)C)O,Unspecified,,,Potential missing data,Inhibition,%,NA
4,312363233,21632843,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCC[C@]3(C)CO)C)O,Unspecified,,,Potential missing data,Inhibition,%,NA
5,440111071,14165764,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCC[C@@]3(C)C(=O)OC)C)OC(=O)C,Unspecified,,,Potential missing data,Inhibition,%,NA
6,440118215,155516104,CC(C)C1=C(C=C2C(=C1)C(=O)C[C@@H]3[C@@]2(CCC[C@@]3(C)C(=O)O)C)O,Unspecified,,,Potential missing data,Inhibition,%,NA
7,440172368,220356,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCC[C@@]3(C)C(=O)OC)C)C(=O)C,Unspecified,,,Potential missing data,Inhibition,%,NA
8,440181798,102152190,CC(C)C1=C(C=C2C(=C1)C(=O)C[C@@H]3[C@@]2(CCC[C@@]3(C)C(=O)OC)C)O,Unspecified,,,Potential missing data,Inhibition,%,NA
9,440193504,102152189,CC(C)C1=C(C=C2C(=C1)C(=O)C[C@@H]3[C@@]2(CCC[C@@]3(C)C(=O)OC)C)OC(=O)C,Unspecified,,,Potential missing data,Inhibition,%,NA
10,440211391,14132237,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCC[C@@]3(C)C(=O)OC)C)O,Unspecified,,,Potential missing data,Inhibition,%,NA
11,482046858,168269085,CC(C)C1=C(C=C2C(=C1)C(=O)C[C@@H]3[C@@]2(CCC[C@]3(C)CO)C)O,Unspecified,,,Potential missing data,Inhibition,%,NA
12,482047123,44268184,CC(C)C1=CC2=C(C=C1)[C@]3(CCCC([C@@H]3CC2)(C)C(=O)OC)C,Unspecified,,,Potential missing data,Inhibition,%,NA
13,482048440,168270170,CC(C)C1=C(C=C2C(=C1)C(=O)C[C@@H]3[C@@]2(CCC[C@]3(C)C(=O)O)C)O,Unspecified,,,Potential missing data,Inhibition,%,NA
14,482066047,132551060,CC(C)C1=C(C=C2C(=C1)C(=O)C[C@@H]3[C@@]2(CCC[C@]3(C)C(=O)OC)C)OC(=O)C,Unspecified,,,Potential missing data,Inhibition,%,NA
