PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103700021,44604810,COC1=C(C=C(C(=C1)C(=O)O)NS(=O)(=O)C2=CC=CC(=C2)C3=CN(N=C3)CC4=CC=CC=C4)OC,Unspecified,,,,20,IC50,>,20000,nM
2,103700022,44604811,C1=CC=C(C(=C1)C(=O)O)NS(=O)(=O)C2=CC=CC(=C2)C3=CNN=C3,Unspecified,,,,20,IC50,>,20000,nM
3,103700029,44605018,CN1C=C(C=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3C(=O)O,Unspecified,,,,20,IC50,>,20000,nM
4,103700030,44605019,CC(C)CN1C=C(C=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3C(=O)O,Unspecified,,,,20,IC50,>,20000,nM
5,103700064,44607341,C1=CC=C(C=C1)CN2C=C(C=N2)C3=CC(=CC=C3)S(=O)(=O)NC4=CC=CC=C4C(=O)O,Active,,,,0.7,IC50,=,700,nM
6,103700065,44607342,C1=CC=C(C=C1)CN2C=C(C=N2)C3=CC(=CC=C3)S(=O)(=O)NC4=CC=CC=C4,Unspecified,,,,20,IC50,>,20000,nM
7,103700066,44605020,CC(C)CCN1C=C(C=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3C(=O)O,Active,,,,6.77,IC50,=,6770,nM
8,103700067,44605021,C1COCCN1CCN2C=C(C=N2)C3=CC(=CC=C3)S(=O)(=O)NC4=CC=CC=C4C(=O)O,Unspecified,,,,20,IC50,>,20000,nM
9,103700082,44607509,COC(=O)C1=CC=CC=C1NS(=O)(=O)C2=CC=CC(=C2)C3=CN(N=C3)CC4=CC=CC=C4,Unspecified,,,,20,IC50,>,20000,nM
10,103700094,44607510,C1=CC=C(C=C1)CN2C=C(C=N2)C3=CC(=CC=C3)S(=O)(=O)NC4=CC=CC=C4C(=O)N,Unspecified,,,,20,IC50,>,20000,nM
11,103700095,44607511,C1=CC=C(C=C1)CN2C=C(C=N2)C3=CC(=CC=C3)S(=O)(=O)NC4=CC=CC(=C4)C(=O)O,Unspecified,,,,20,IC50,>,20000,nM
12,103700108,44607512,C1=CC=C(C=C1)CN2C=C(C=N2)C3=CC(=CC=C3)S(=O)(=O)NC4=CC=C(C=C4)C(=O)O,Unspecified,,,,20,IC50,>,20000,nM
13,103700115,44607513,C1=CC=C(C=C1)CN2C=C(C=N2)C3=CC(=CC=C3)S(=O)(=O)NC4=C(C=CC=C4Cl)C(=O)O,Unspecified,,,,18.02,IC50,=,18020,nM
14,103700125,44605022,C1=CC=C2C=C(C=CC2=C1)CN3C=C(C=N3)C4=CC(=CC=C4)S(=O)(=O)NC5=CC=CC=C5C(=O)O,Active,,,,0.37,IC50,=,370,nM
15,103700138,44607514,C1=CC=C(C=C1)CN2C=C(C=N2)C3=CC(=CC=C3)S(=O)(=O)NC4=C(C=CC(=C4)Cl)C(=O)O,Active,,,,0.77,IC50,=,770,nM
16,103700139,44605023,C1=CC=C2C=C(C=CC2=C1)CN3C=C(C=N3)C4=CC(=CC=C4)S(=O)(=O)NC5=C(C=CC(=C5)F)C(=O)O,Active,,,,0.26,IC50,=,260,nM
17,103700140,44605230,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C(=O)NC3=CC=CC(=C3)CN4C=C(C=N4)C5=CC(=CC=C5)S(=O)(=O)NC6=CC=CC=C6C(=O)O,Active,,,,1.5,IC50,=,1500,nM
18,103700151,44604806,C1=CC=C(C=C1)CN2C=C(C=N2)C3=CC(=CC=C3)S(=O)(=O)NC4=C(C=C(C=C4)Cl)C(=O)O,Active,,,,2.56,IC50,=,2560,nM
19,103700172,44604807,C1=CC=C(C=C1)CN2C=C(C=N2)C3=CC(=CC=C3)S(=O)(=O)NC4=C(C(=CC=C4)Cl)C(=O)O,Unspecified,,,,20,IC50,>,20000,nM
20,103700191,44604808,C1=CC=C(C=C1)CN2C=C(C=N2)C3=CC(=CC=C3)S(=O)(=O)NC4=C(C=CC(=C4)F)C(=O)O,Active,,,,0.37,IC50,=,370,nM
21,103700192,44604809,COC1=CC(=C(C=C1)C(=O)O)NS(=O)(=O)C2=CC=CC(=C2)C3=CN(N=C3)CC4=CC=CC=C4,Active,,,,9.99,IC50,=,9990,nM
22,103700204,45483953,CC1=NN(CC1=O)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3C(=O)O,Active,,,,7.2,IC50,=,7200,nM
