PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103164420,4171,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,Inconclusive,,,Potential missing data,,solubility,,,,Not Determined
2,103164873,2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,Inconclusive,,,Potential missing data,,solubility,,,,Not Determined
3,103164951,4946,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,Unspecified,,,,117,Solubility,=,117000,nM,
4,103169669,456201,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@H]3CO[C@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,Unspecified,,,,32,Solubility,=,32000,nM,
5,103170100,2733526,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,Active,,,,1.32,Solubility,=,1320,nM,
6,103401109,441074,COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O,Inconclusive,,,Potential missing data,,solubility,,,,Not Determined
7,312392786,90467922,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)N4CCOCC4)N,Active,,,,3.44,Solubility,=,3440,nM,
8,404652556,134817201,C[C@@H]1CN(C[C@@H](O1)C)C2=C3C(=NS2)C=C(C=N3)C4=CC(=C(C=C4)N)OC,Active,,,,0.52,Solubility,=,520,nM,
9,404652804,145950059,COC1=C(C=CC(=C1)C2=CC3=NSC(=C3N=C2)N4CCNC(=O)C4)N,Unspecified,,,,51.3,Solubility,=,51300,nM,
