PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103216353,233815,C1CC2(C3=CC=CC=C31)C(=O)NC(=O)N2,Unspecified,,,,500,EC50,>,500000,nM,Outside typical range
2,404660668,145955521,C1CC2=CC=CC=C2C3(C1)C(=O)N(C(=O)N3)CC(=O)NO,Unspecified,,,,30,EC90,>,30,uM,
3,404660668,145955521,C1CC2=CC=CC=C2C3(C1)C(=O)N(C(=O)N3)CC(=O)NO,Unspecified,,,,30,EC50,>,30000,nM,
4,440111428,155511616,CN1C(=O)N(C(=O)C12CCCCC3=CC=CC=C23)CC(=O)NO,Unspecified,,,,15.3,EC90,=,15.3,uM,
5,440111428,155511616,CN1C(=O)N(C(=O)C12CCCCC3=CC=CC=C23)CC(=O)NO,Unspecified,,,,10.6,EC50,=,10600,nM,
6,440120263,155517505,C1CC2=CC=CC=C2C3(C1)C(=O)N(C(=O)N3CC4=CC=CC=C4)CC(=O)NO,Active,,,,1.71,EC90,=,1.71,uM,
7,440120263,155517505,C1CC2=CC=CC=C2C3(C1)C(=O)N(C(=O)N3CC4=CC=CC=C4)CC(=O)NO,Active,,,,0.96,EC50,=,960,nM,
8,440127047,155521829,CN1C(=O)N(C(=O)C12CCCC3=CC=CC=C23)CC(=O)NO,Unspecified,,,,42.1,EC90,=,42.1,uM,
9,440127047,155521829,CN1C(=O)N(C(=O)C12CCCC3=CC=CC=C23)CC(=O)NO,Unspecified,,,,27.6,EC50,=,27600,nM,
10,440143082,155532322,C1CC2(C3=CC=CC=C31)C(=O)N(C(=O)N2CC4=CC=CC=C4)CC(=O)NO,Active,,,,3.01,EC90,=,3.01,uM,
11,440143082,155532322,C1CC2(C3=CC=CC=C31)C(=O)N(C(=O)N2CC4=CC=CC=C4)CC(=O)NO,Active,,,,1.7,EC50,=,1700,nM,
12,440144105,155532987,C1CC2(C3=CC=CC=C31)C(=O)N(C(=O)N2)CC(=O)NO,Unspecified,,,,30,EC90,>,30,uM,
13,440144105,155532987,C1CC2(C3=CC=CC=C31)C(=O)N(C(=O)N2)CC(=O)NO,Unspecified,,,,30,EC50,>,30000,nM,
14,440151653,155537935,C1CCC2(C3=CC=CC=C3C1)C(=O)N(C(=O)N2CC4=CC=CC=C4)CC(=O)NO,Active,,,,0.94,EC90,=,0.94,uM,
15,440151653,155537935,C1CCC2(C3=CC=CC=C3C1)C(=O)N(C(=O)N2CC4=CC=CC=C4)CC(=O)NO,Active,,,,0.495,EC50,=,495,nM,
16,440152886,155538701,CN1C(=O)N(C(=O)C12CCC3=CC=CC=C23)CC(=O)NO,Unspecified,,,,30,EC50,>,30000,nM,
17,440202077,155558538,C1CCC2(C3=CC=CC=C3C1)C(=O)N(C(=O)N2)CC(=O)NO,Unspecified,,,,30,EC50,>,30000,nM,
