PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
1,318383225,122185647,C1=C([C@H]([C@H]([C@@H]1N2C=NC3=C2C(=CN=C3N)F)O)O)CO,Active,,,,7.1,IC50,=,7100,nM,,
2,318383226,122185648,C1=C([C@H]([C@H]([C@@H]1N2C=NC3=C2C(=CN=C3N)F)O)O)CCO,Unspecified,,,,15,IC50,=,15000,nM,,
3,318383227,122185649,CC1=CN=C(C2=C1N(C=N2)[C@@H]3C=C([C@H]([C@H]3O)O)CO)N,Unspecified,,,,228,IC50,>,228000,nM,,Outside typical range
4,318383228,46870146,C1=C([C@H]([C@H]([C@@H]1N2C=NC3=C(N=C(C=C32)F)N)O)O)CO,Inactive,,,Potential missing data,,Activity,,,,Not Active,
5,318383229,122185650,C1=C([C@H]([C@H]([C@@H]1N2C=NC3=C(N=C(C=C32)F)N)O)O)CCO,Inactive,,,Potential missing data,,Activity,,,,Not Active,
6,318383230,122185651,C1[C@@H]([C@H]([C@H]([C@@H]1N2C=NC3=C(N=C(C=C32)F)N)O)O)CO,Inactive,,,Potential missing data,,Activity,,,,Not Active,
7,318383231,122185652,C1[C@@H]([C@H]([C@H]([C@@H]1N2C=NC3=C(N=C(C=C32)F)N)O)O)CCO,Inactive,,,Potential missing data,,Activity,,,,Not Active,
8,318383232,122185653,C1[C@H]([C@@H]([C@@H]([C@H]1O)O)O)N2C=NC3=C(N=C(C=C32)F)N,Inactive,,,Potential missing data,,Activity,,,,Not Active,
