PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
1,381842963,137635647,C1C[C@@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N2C1)CC3=CC=CC=C3)CO)CC4=CC=C(C=C4)C5=CC=CC=C5)CO)CCCCN)CCCN=C(N)N)CCCN=C(N)N,Unspecified,,,,108.1,EC50,=,108100,nM,,Outside typical range
2,381846570,137638079,C[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCCCN)CCCN=C(N)N)CCCN=C(N)N)CCCN=C(N)N)CC2=CC=CC=C2)CC3=CC=CC4=CC=CC=C43)CCC5=CC=CC=C5,Unspecified,,,,11.8,EC50,=,11800,nM,,
3,381847125,137638451,C1C[C@@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N2C1)CC3=CC=CC=C3)CO)CC4=CC5=CC=CC=C5C=C4)CO)CCCCN)CCCN=C(N)N)CCCCN,Unspecified,,,,306.2,EC50,=,306200,nM,,Outside typical range
4,381852613,137642152,C[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](CN1)CCCCN)CCCN=C(N)N)CCCN=C(N)N)CCCN=C(N)N)CC2=CC=CC=C2)CC3=CC=CC4=CC=CC=C43)CCC5=CC=CC=C5,Unspecified,,,,11.4,EC50,=,11400,nM,,
5,381856696,137644925,C1=CC=C(C=C1)C[C@@H]2C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CO)CC3=CC=C(C=C3)C4=CC=CC=C4)CO)CCCCN)CCCN=C(N)N)CCCN=C(N)N)CCCN=C(N)N,Unspecified,,,,87.5,EC50,=,87500,nM,,
6,381857207,137645263,C1=CC=C(C=C1)CC[C@H]2C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CO)CCCCN)CCCN=C(N)N)CCCN=C(N)N)CCCN=C(N)N)CC3=CC=CC=C3)CC4=CC=CC5=CC=CC=C54,Unspecified,,,,23.2,EC50,=,23200,nM,,
7,381860367,137647419,C1=CC=C(C=C1)CC[C@H]2C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N2)CC3=CC=CC=C3)CCCCN)CCCN=C(N)N)CCCN=C(N)N)CCCN=C(N)N)CC4=CC5=CC=CC=C5C=C4)CC6=CC=CC=C6,Active,,,,4.6,EC50,=,4600,nM,,
8,381869334,137653453,C1=CC=C(C=C1)CC[C@H]2C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CO)CCCCN)CCCN=C(N)N)CCCN=C(N)N)CCCN=C(N)N)CC3=CC=CC=C3)CC4=CC5=CC=CC=C5C=C4,Unspecified,,,,48.5,EC50,=,48500,nM,,
9,381878866,137657110,C1C[C@@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N2C1)CC3=CC=CC=C3)CO)CCC4=CC=CC=C4)CO)CCCCN)CCCN=C(N)N)CCCCN,Inactive,,,Potential missing data,,EC50,,,,Not Active,
10,381883100,137659074,C1=CC=C(C=C1)CC[C@H]2C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N2)CC3=CC4=CC=CC=C4C=C3)CCCCN)CCCN=C(N)N)CCCN=C(N)N)CCCN=C(N)N)CC5=CC6=CC=CC=C6C=C5)CC7=CC=CC=C7,Active,,,,2,EC50,=,2000,nM,,
11,381883613,137659417,C1C[C@@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N2C1)CC3=CC=CC=C3)CO)CC4=CC=C(C=C4)C5=CC=CC=C5)CO)CCCCN)CCCN=C(N)N)CCCCN,Unspecified,,,,293,EC50,=,293000,nM,,Outside typical range
12,381885497,137660699,C1=CC=C(C=C1)C2=CC=C(C=C2)C[C@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N3)CO)CCCCN)CCCN=C(N)N)CCCN=C(N)N)CCCN=C(N)N)CCCN=C(N)N)CO,Unspecified,,,,141.1,EC50,=,141100,nM,,Outside typical range
