PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,440171730,122455309,CCCCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC=CC=C3C,Active,,,,0.3,IC50,=,300,nM,
2,440174794,122455264,CCCCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3O,Active,,,,0.4,IC50,=,400,nM,
3,440182334,122494885,CCOCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3C(F)(F)F,Active,,,,0.4,IC50,=,400,nM,
4,440213395,122455390,CCCCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3C(F)(F)F,Active,,,,0.4,IC50,=,400,nM,
5,440218061,155564894,CCCCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3OC,Active,,,,0.18,IC50,=,180,nM,
6,440227299,122494869,CCCCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC4=C3C=CN=C4,Active,,,,0.12,IC50,=,120,nM,
7,442046726,122455302,CC(C)CCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC=CC=C3F,Active,,,,0.12,IC50,=,120,nM,
8,442047096,156009995,CCCCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC=CC=C3NS(=O)(=O)C,Active,,,,0.06,IC50,=,60,nM,
9,442047351,129906805,CC(C)CCC1=CN(N=N1)C2=CC(=C(C=C2)NC(=O)NC3=CC=CC=C3C(F)(F)F)OC,Active,,,,1.05,IC50,=,1050,nM,
10,442047678,156010392,CCOCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC(=C3)C(=O)OCC,Active,,,,0.005,IC50,=,5,nM,
11,442048727,122455343,CC(=O)CCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC(=CC=C3)F,Active,,,,2.4,IC50,=,2400,nM,
12,442050948,122455368,CCOCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC(=CC=C3)F,Unspecified,,,,21.2,IC50,=,21200,nM,
13,442051098,122455299,CC1=CC=CC=C1NC(=O)NC2=CC=C(C=C2)N3C=C(N=N3)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Active,,,,5.97,IC50,=,5970,nM,
14,442052829,122455324,CCCCCCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC=CC=C3C(F)(F)F,Active,,,,0.3,IC50,=,300,nM,
15,442053426,122455308,CC(C)CCC1=CN(N=N1)C2=C(C=C(C=C2)NC(=O)NC3=CC=CC=C3C(F)(F)F)OC,Active,,,,0.3,IC50,=,300,nM,
16,442054735,122455311,CC1=CC=CC=C1NC(=O)NC2=CC=C(C=C2)N3C=C(N=N3)CCC(C)C,Active,,,,0.17,IC50,=,170,nM,
17,442054864,122455265,CCCCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC(=CC=C3)F,Active,,,,0.6,IC50,=,600,nM,
18,442055685,122455315,CC(C)CCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC=C(C=C3)F,Active,,,,1.9,IC50,=,1900,nM,
19,442057217,156017126,CCOCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3N4CCOCC4,Active,,,,0.06,IC50,=,60,nM,
20,442057354,156017217,CCOCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC(=C3)C(=O)O,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
21,442059564,156018796,CCOCC1=CN(N=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3NS(=O)(=O)C,Active,,,,0.08,IC50,=,80,nM,
22,442061626,122455328,C1=CC=C(C(=C1)C(F)(F)F)NC(=O)NC2=CC=C(C=C2)N3C=C(N=N3)CF,Active,,,,2.2,IC50,=,2200,nM,
23,442062738,122455347,CC(C)CCC1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC(=CC=C3)F,Active,,,,0.2,IC50,=,200,nM,
24,442064323,122455341,CCCC(C)C(C1=CN(N=N1)C2=CC=C(C=C2)NC(=O)NC3=CC=CC=C3C(F)(F)F)F,Active,,,,1.05,IC50,=,1050,nM,
