PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
1,163313815,71449744,C1=CC=C(C=C1)C/C=N\NC(=O)C2=CC(=NC3=CC=CC=C32)/C=N/NC4=CC=C(C=C4)S(=O)(=O)N,Unspecified,,,,100,IC50,>,100000,nM,,
2,163313816,71449745,C1=CC=C(C=C1)/C=C/C=N\NC(=O)C2=CC(=NC3=CC=CC=C32)/C=N/NC4=CC(=CC=C4)[N+](=O)[O-],Unspecified,,,,21.96,IC50,=,21960,nM,,
3,163313817,60194995,C1=CC=C(C=C1)CCCNC(=O)C2=CC(=NC3=CC=CC=C32)/C=N/NC4=CC(=CC=C4)Cl,Unspecified,,,,100,IC50,>,100000,nM,,
4,163313818,136205824,CCOC(=O)C1=CC(=C(C(=C1)/C=N/NC(=O)C2=CC3=C(C=C2)OCO3)O)/C=N/NC(=O)C4=CC5=C(C=C4)OCO5,Unspecified,,,,100,IC50,>,100000,nM,,
5,163313819,49848629,CCOC(=O)C1=CC(=CC(=C1)/C=N/NC2=NC3=CC=CC=C3N2)/C=N/NC4=NC5=CC=CC=C5N4,Unspecified,,,,29.53,IC50,=,29530,nM,,
6,163317260,60194816,C1=CC=C2C(=C1)C(=CC(=N2)/C=N/NC3=CC=C(C=C3)S(=O)(=O)N)C(=O)N/N=C/C4=CC(=CC=C4)O,Active,,,,7.83,IC50,=,7830,nM,,
7,163317261,71451559,C1=CC=C(C=C1)C/C=N\NC(=O)C2=CC(=NC3=CC=CC=C32)/C=N/NC4=CC=CC(=C4)C(F)(F)F,Unspecified,,,,19.8,IC50,=,19800,nM,,
8,163317262,71451560,C1=CC=C(C=C1)/C=C/C=N\NC(=O)C2=CC(=NC3=CC=CC=C32)/C=N/NC4=CC=CC(=C4)C(F)(F)F,Unspecified,,,,100,IC50,>,100000,nM,,
9,163317263,60194992,C1=CC=C(C=C1)CCCCNC(=O)C2=CC(=NC3=CC=CC=C32)/C=N/NC4=CC=C(C=C4)S(=O)(=O)N,Unspecified,,,,100,IC50,>,100000,nM,,
10,163317264,136205806,CCOC(=O)C1=CC(=C(C(=C1)/C=N/NC2=NC3=CC=CC=C3N2)O)/C=N/NC4=NC5=CC=CC=C5N4,Unspecified,,,Potential missing data,,Inhibition,,,%,Dose-dependent effect,
11,163317264,136205806,CCOC(=O)C1=CC(=C(C(=C1)/C=N/NC2=NC3=CC=CC=C3N2)O)/C=N/NC4=NC5=CC=CC=C5N4,Unspecified,,,,13.12,IC50,=,13120,nM,,
12,163320744,60195085,C1=CC=C(C=C1)CCCCNC(=O)C2=CC(=NC3=CC=CC=C32)/C=N/NC4=CC=CC(=C4)C(=O)O,Unspecified,,,,35.28,IC50,=,35280,nM,,
13,163320745,71453400,C1=CC=C(C=C1)C/C=N\NC(=O)C2=CC(=NC3=CC=CC=C32)/C=N/NC4=CC(=CC=C4)Br,Active,,,,9.45,IC50,=,9450,nM,,
14,163320746,60194993,C1=CC=C(C=C1)CCCNC(=O)C2=CC(=NC3=CC=CC=C32)/C=N/NC4=CC(=CC=C4)Br,Unspecified,,,,100,IC50,>,100000,nM,,
15,163320747,71453401,C1OC2=C(O1)C=C(C=C2)/C=C(/CC(=O)C3=CC=CC=C3)\C(=O)CCCC(=O)OCCCl,Unspecified,,,,242.4,IC50,=,242400,nM,,Outside typical range
16,163324102,71455097,C1=CC=C(C=C1)CC/C=N\NC(=O)C2=CC(=NC3=CC=CC=C32)/C=N/NC4=CC=C(C=C4)S(=O)(=O)N,Unspecified,,,,36.02,IC50,=,36020,nM,,
17,163324103,71455098,C1=CC=C(C=C1)CC/C=N\NC(=O)C2=CC(=NC3=CC=CC=C32)/C=N/NC4=CC(=CC=C4)Br,Unspecified,,,,19.93,IC50,=,19930,nM,,
18,163324104,60194991,C1=CC=C(C=C1)CCCNC(=O)C2=CC(=NC3=CC=CC=C32)/C=N/NC4=CC=C(C=C4)S(=O)(=O)N,Unspecified,,,,100,IC50,>,100000,nM,,
19,163324105,136274365,CCNC(=S)N/N=C\C1=CC(=CC(=C1O)/C=N\NC(=S)NCC)C(=O)OCC,Unspecified,,,,100,IC50,>,100000,nM,,
20,163324106,136205829,C1=CC=C2C(=C1)NC(=N2)N/N=C/C3=C(C(=CC=C3)/C=N/NC4=NC5=CC=CC=C5N4)O,Unspecified,,,,100,IC50,>,100000,nM,,
21,163324107,60196143,C1=CC=C(C=C1)CC/C=N/NC(=O)C2=CC(=NC3=CC=CC=C32)/C=N/NC4=CC(=CC=C4)Cl,Unspecified,,,,29.04,IC50,=,29040,nM,,
22,163327584,60195084,C1=CC=C(C=C1)CCCNC(=O)C2=CC(=NC3=CC=CC=C32)/C=N/NC4=CC=CC(=C4)C(=O)O,Unspecified,,,,41.24,IC50,=,41240,nM,,
23,163327585,60194994,C1=CC=C(C=C1)CCCCNC(=O)C2=CC(=NC3=CC=CC=C32)/C=N/NC4=CC(=CC=C4)Br,Unspecified,,,,100,IC50,>,100000,nM,,
24,163327586,136205808,CCOC(=O)C1=CC(=C(C(=C1)/C=N/NC2=CC=C(C=C2)[N+](=O)[O-])O)/C=N/NC3=CC=C(C=C3)[N+](=O)[O-],Unspecified,,,,14.58,IC50,=,14580,nM,,
25,163327587,71456909,C1=CC=C(C=C1)C/C=N\NC(=O)C2=CC(=NC3=CC=CC=C32)/C=N/NC4=CC(=CC=C4)Cl,Unspecified,,,,28.12,IC50,=,28120,nM,,
26,163331086,71458760,C1=CC=C(C=C1)/C=C/C=N\NC(=O)C2=CC(=NC3=CC=CC=C32)/C=N/NC4=CC(=CC=C4)Cl,Unspecified,,,,14.32,IC50,=,14320,nM,,
27,163331087,136268773,CCOC(=O)C1=CC(=C(C(=C1)/C=N\NC(=S)N)O)/C=N\NC(=S)N,Unspecified,,,,100,IC50,>,100000,nM,,
28,163331088,136205825,CCOC(=O)C1=CC(=C(C(=C1)/C=N/NC2=CC=C(C=C2)C(C)C)O)/C=N/NC3=CC=C(C=C3)C(C)C,Unspecified,,,,39.46,IC50,=,39460,nM,,
29,163334577,71460572,C1=CC=C(C=C1)CC/C=N\NC(=O)C2=CC(=NC3=CC=CC=C32)/C=N/NC4=CC=CC(=C4)C(F)(F)F,Unspecified,,,,100,IC50,>,100000,nM,,
30,163334578,136205818,CCOC(=O)C1=CC(=C(C(=C1)/C=N/NC(=O)NC2=CC=CC=C2)O)/C=N/NC(=O)NC3=CC=CC=C3,Unspecified,,,,100,IC50,>,100000,nM,,
