PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,312361122,46975833,CC1=CC(=C(C=C1)NC(=O)C2=C(N=CN2)C(=O)NC3=CC=C(C=C3)F)C4=NNC(=C4)C,Unspecified,,,,120,CC50,>,120000,nM,
2,312361123,118716013,CC1=CC(=NN1)C2=CC=CC=C2NC(=O)C3=C(N=CN3)C(=O)NC4=CC=C(C=C4)F,Unspecified,,,,121,CC50,>,121000,nM,
3,312361124,118716014,C1=CC=C(C(=C1)CNC(=O)C2=C(N=CN2)C(=O)NC3=CC=C(C=C3)F)C4=CC=NC=C4,Unspecified,,,,120,CC50,>,120000,nM,
4,312361125,118716015,C1=CC=C(C(=C1)CNC(=O)C2=C(N=CN2)C(=O)NC3=CC=C(C=C3)F)C4=CSC=C4,Unspecified,,,,34.5,CC50,=,34500,nM,
5,312361126,118716016,C1=CC(=CN=C1)C2=CC=C(C=C2)CNC(=O)C3=C(N=CN3)C(=O)NC4=CC=C(C=C4)F,Unspecified,,,,118,CC50,>,118000,nM,
6,312361127,118716017,C1=CC(=CC=C1CNC(=O)C2=C(N=CN2)C(=O)NC3=CC=C(C=C3)F)C4=CSC=C4,Unspecified,,,,119,CC50,>,119000,nM,
7,312361128,118716018,C1=CC(=CC=C1CNC(=O)C2=C(N=CN2)C(=O)NC3=CC=C(C=C3)F)C4=CC=NC=C4,Unspecified,,,,120,CC50,>,120000,nM,
8,312361129,118716019,CC1=CC(=C(C=C1)NC(=O)C2=C(N=CN2)C(=O)NC3=CC=C(C=C3)F)C4=CSC=C4,Unspecified,,,,119,CC50,>,119000,nM,
9,312361130,118716020,CC1=CC(=C(C=C1)NC(=O)C2=C(N=CN2)C(=O)NC3=CC=C(C=C3)F)C4=CC=CO4,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
10,312361131,118716021,CC1=CC(=C(C=C1)NC(=O)C2=C(N=CN2)C(=O)NC3=CC=CC=C3)C4=CSC=C4,Unspecified,,,,120,CC50,>,120000,nM,
11,312361132,118716022,CC1=CC=C(C=C1)NC(=O)C2=C(NC=N2)C(=O)NC3=C(C=C(C=C3)C)C4=CSC=C4,Unspecified,,,,120,CC50,>,120000,nM,
12,312361133,118716023,CC1=CC=C(C=C1)NC(=O)C2=C(NC=N2)C(=O)NC3=C(C=C(C=C3)C)C4=CC=CO4,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
13,312361134,118716024,CC1=CC(=C(C=C1)NC(=O)C2=C(NC=N2)C(=O)NCC3=CC=CC=C3)C4=CC=CO4,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
14,312361135,118716025,CC1=CC(=C(C=C1)NC(=O)C2=C(NC=N2)C(=O)NCCC3=CC=C(C=C3)F)C4=CC=CO4,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
15,312361136,118716026,CC1=CC=C(S1)C2=C(N=CC(=C2)C)NC(=O)C3=C(N=CN3)C(=O)NC4=CC=CC=C4,Unspecified,,,,119,CC50,>,119000,nM,
16,312361137,118716027,C1=CC(=CC=C1CNC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CC=NC=C4,Unspecified,,,,120,CC50,>,120000,nM,
17,312361138,118716028,CC1=CC(=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CN=CC=C4,Unspecified,,,,118,CC50,>,118000,nM,
18,312361139,118716029,C1=CC(=CN=C1)C2=CC=C(C=C2)CNC(=O)C3=NC=CN=C3C(=O)NC4=CC=C(C=C4)F,Unspecified,,,,116,CC50,>,116000,nM,
19,312361140,118716030,C1=CC=C(C(=C1)C2=CC=NC=C2)NC(=O)C3=NC=CN=C3C(=O)NC4=CC=C(C=C4)F,Unspecified,,,,123.3,CC50,>,123300,nM,
20,312361141,118716031,C1=CC=C(C(=C1)C2=CN=CC=C2)NC(=O)C3=NC=CN=C3C(=O)NC4=CC=C(C=C4)F,Unspecified,,,,119,CC50,>,119000,nM,
21,312361142,118716032,C1=CC=C(C(=C1)CNC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CC=NC=C4,Unspecified,,,,127,CC50,>,127000,nM,
22,312361143,118716033,CC1=CC(=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CC=NC=C4,Unspecified,,,,125,CC50,>,125000,nM,
23,312361144,118716034,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NCC3=CC=C(C=C3)C4=CC=NC=C4,Unspecified,,,,110.5,CC50,>,110500,nM,
24,312361145,118716035,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=C(C=C(C=C3)C)C4=CN=CC=C4,Unspecified,,,,75.5,CC50,=,75500,nM,
25,312361146,118716036,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NCC3=CC=C(C=C3)C4=CN=CC=C4,Unspecified,,,,124,CC50,>,124000,nM,
26,312361147,118716037,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=CC=C3C4=CC=NC=C4,Unspecified,,,,125,CC50,>,125000,nM,
27,312361148,118716038,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=CC=C3C4=CN=CC=C4,Unspecified,,,,122,CC50,>,122000,nM,
28,312361149,118716039,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NCC3=CC=CC=C3C4=CC=NC=C4,Unspecified,,,,120,CC50,>,120000,nM,
29,312361150,118716040,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=C(C=C(C=C3)C)C4=CC=NC=C4,Unspecified,,,,117.5,CC50,>,117500,nM,
