PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
1,440122179,155518751,COC1=CC=CC(=C1)CN2C3=C(C=C(C=C3)C4=CC(=CC=C4)C(=N)N)C5=C2C=CC(=C5)C6=CC(=CC=C6)C(=N)N,Active,,,,2.71,IC50,=,2710,nM,,
2,440207206,155560583,COC1=CC(=CC=C1)S(=O)(=O)N2C3=C(C=C(C=C3)C4=CC(=CC=C4)C(=N)N)C5=C2C=CC(=C5)C6=CC(=CC=C6)C(=N)N,Active,,,,4.5,IC50,=,4500,nM,,
3,469800941,164610579,C1=CC(=CC(=C1)/C(=N/O)/N)C2=CC3=C(N(C4=C3C=C(C=C4)C5=CC(=CC=C5)/C(=N/O)/N)S(=O)(=O)C6=CC=CC(=C6)C(F)(F)F)C=C2,Inactive,,,Potential missing data,,IC50,,,,Not Active,
4,469805755,164614042,C1=CC(=CC(=C1)C(=N)N)C2=CC3=C(C=C2)N(C4=C3C=C(C=C4)C5=CC(=CC=C5)C(=N)N)S(=O)(=O)C6=CC=CC(=C6)C(F)(F)F,Active,,,,2.9,IC50,=,2900,nM,,
5,469808527,164616040,C1=CC=C(C(=C1)S(=O)(=O)N2C3=C(C=C(C=C3)C4=CC(=CC=C4)C(=N)N)C5=C2C=CC(=C5)C6=CC(=CC=C6)C(=N)N)Br,Active,,,,8.8,IC50,=,8800,nM,,
6,469808955,164616341,C1=CC(=CC(=C1)/C(=N/O)/N)C2=CC3=C(N(C4=C3C=C(C=C4)C5=CC(=CC=C5)/C(=N/O)/N)S(=O)(=O)C6=CC=CC(=C6)OC(F)(F)F)C=C2,Inactive,,,Potential missing data,,IC50,,,,Not Active,
7,469811083,164617907,COC1=CC=C(C=C1)S(=O)(=O)N2C3=C(C4=C2C=CC(=C4)C5=CC(=CC=C5)/C(=N/O)/N)C=C(C=C3)C6=CC(=CC=C6)/C(=N/O)/N,Inactive,,,Potential missing data,,IC50,,,,Not Active,
8,469811102,164617920,C1=CC=C(C(=C1)OC(F)(F)F)S(=O)(=O)N2C3=C(C4=C2C=CC(=C4)C5=CC(=CC=C5)/C(=N/O)/N)C=C(C=C3)C6=CC(=CC=C6)/C(=N/O)/N,Inactive,,,Potential missing data,,IC50,,,,Not Active,
9,469813186,164619431,COC1=CC=CC(=C1)CN2C3=C(C=C(C=C3)C4=CC(=CC=C4)C5=NOC(=O)N5)C6=C2C=CC(=C6)C7=CC(=CC=C7)C8=NOC(=O)N8,Unspecified,,,,121,IC50,=,121000,nM,,Outside typical range
10,469814027,164620020,C1=CC=C(C(=C1)S(=O)(=O)N2C3=C(C4=C2C=CC(=C4)C5=CC(=CC=C5)/C(=N/O)/N)C=C(C=C3)C6=CC(=CC=C6)/C(=N/O)/N)Br,Inactive,,,Potential missing data,,IC50,,,,Not Active,
11,469816687,164621969,C1=CC=C(C(=C1)OC(F)(F)F)S(=O)(=O)N2C3=C(C=C(C=C3)C4=CC(=CC=C4)C(=N)N)C5=C2C=CC(=C5)C6=CC(=CC=C6)C(=N)N,Active,,,,9.8,IC50,=,9800,nM,,
12,469821084,164625135,COC1=CC=C(C=C1)S(=O)(=O)N2C3=C(C=C(C=C3)C4=CC(=CC=C4)C(=N)N)C5=C2C=CC(=C5)C6=CC(=CC=C6)C(=N)N,Active,,,,6.6,IC50,=,6600,nM,,
13,469824005,164626706,C1=CC(=CC(=C1)C(=N)N)C2=CC3=C(C=C2)N(C4=C3C=C(C=C4)C5=CC(=CC=C5)C(=N)N)S(=O)(=O)C6=CC=CC(=C6)OC(F)(F)F,Active,,,,3.1,IC50,=,3100,nM,,
14,469826666,164628064,COC1=CC(=CC=C1)S(=O)(=O)N2C3=C(C4=C2C=CC(=C4)C5=CC(=CC=C5)/C(=N/O)/N)C=C(C=C3)C6=CC(=CC=C6)/C(=N/O)/N,Inactive,,,Potential missing data,,IC50,,,,Not Active,
