PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103619997,37542,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,Unspecified,,,,48.98,CC50,=,48980,nM
2,103699123,453180,C#CC1=C(N=CN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,Active,,,,1.24,CC50,=,1240,nM
3,440134348,155526582,C#CC1=C(N=CN1[C@H]2[C@@H]([C@@H]([C@H](S2)CO)O)O)C(=O)N,Unspecified,,,,50,CC50,>,50000,nM
4,440139483,11043123,C#CC1=C(N=CN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C#N,Active,,,,3.99,CC50,=,3990,nM
5,440145352,155533827,C#CC1=C(N=CN1[C@H]2[C@@H]([C@@H]([C@H](S2)CO)O)O)C#N,Unspecified,,,,50,CC50,>,50000,nM
6,440171040,155546150,C#CC1=C(N=CN1[C@H]2[C@@H]([C@@H]([C@H]([Se]2)CO)O)O)C(=O)N,Unspecified,,,,50,CC50,>,50000,nM
7,440178072,155548995,C#CC1=C(N=CN1[C@H]2[C@@H]([C@@H]([C@H]([Se]2)CO)O)O)C#N,Unspecified,,,,50,CC50,>,50000,nM
